t,L,x
0.0,0.0029,0.0
5.0251256281407036e-5,0.0029,0.002375569457638164
0.00010050251256281407,0.0029,0.004769391241169939
0.00015075376884422112,0.0029,0.007154967356699371
0.00020100502512562814,0.0029,0.009532409309825738
0.0002512562814070352,0.0029,0.011901825745877491
0.00030150753768844223,0.0029,0.014263341756527862
0.00035175879396984926,0.0029,0.016617057567787058
0.0004020100502512563,0.0029,0.0189631016290179
0.0004522613065326633,0.0029,0.021301596107208214
0.0005025125628140704,0.0029,0.023632645005571613
0.0005527638190954774,0.0029,0.025956367460875214
0.0006030150753768845,0.0029,0.028272916764387743
0.0006532663316582914,0.0029,0.030582389053493957
0.0007035175879396985,0.0029,0.03288492118788246
0.0007537688442211055,0.0029,0.03518063898511909
0.0008040201005025126,0.0029,0.03746969738514625
0.0008542713567839196,0.0029,0.03975221546754812
0.0009045226130653266,0.0029,0.04202833153212843
0.0009547738693467337,0.0029,0.044298193449506494
0.0010050251256281408,0.0029,0.0465619377077475
0.0010552763819095478,0.0029,0.04881974203648364
0.0011055276381909548,0.0029,0.051071744769806554
0.0011557788944723617,0.0029,0.05331811034854997
0.001206030150753769,0.0029,0.055558996370521564
0.001256281407035176,0.0029,0.05779459609412363
0.0013065326633165829,0.0029,0.0600250846487242
0.0013567839195979898,0.0029,0.062250641597713284
0.001407035175879397,0.0029,0.06447146598628414
0.001457286432160804,0.0029,0.06668776399188904
0.001507537688442211,0.0029,0.06889975737619203
0.0015577889447236182,0.0029,0.07110768024109324
0.0016080402010050252,0.0029,0.07331177329270543
0.0016582914572864321,0.0029,0.0755122869841135
0.001708542713567839,0.0029,0.07770950366373186
0.0017587939698492463,0.0029,0.07990372846582472
0.0018090452261306533,0.0029,0.08209527015448131
0.0018592964824120603,0.0029,0.0842844867358886
0.0019095477386934674,0.0029,0.08647175414115164
0.001959798994974874,0.0029,0.08865748869496146
0.0020100502512562816,0.0029,0.09084215905765806
0.0020603015075376886,0.0029,0.09302626337001252
0.0021105527638190956,0.0029,0.09521040542863479
0.0021608040201005025,0.0029,0.09739520072477335
0.0022110552763819095,0.0029,0.09958143900258885
0.0022613065326633165,0.0029,0.10176995818073767
0.0023115577889447235,0.0029,0.10396174948241567
0.0023618090452261304,0.0029,0.10615807542807307
0.002412060301507538,0.0029,0.10836026007843705
0.002462311557788945,0.0029,0.1105701874140068
0.002512562814070352,0.0029,0.11278996493414811
0.0025628140703517588,0.0029,0.11502232939241883
0.0026130653266331657,0.0029,0.1172711063976987
0.0026633165829145727,0.0029,0.11954087172666622
0.0027135678391959797,0.0029,0.12183888644202494
0.002763819095477387,0.0029,0.12417500840679711
0.002814070351758794,0.0029,0.1265648694388823
0.002864321608040201,0.0029,0.12903632783581728
0.002914572864321608,0.0029,0.13163977966411136
0.002964824120603015,0.0029,0.13450085976807052
0.003015075376884422,0.0029,0.13803021155831827
0.003065326633165829,0.0029,0.14544142196695264
0.0031155778894472364,0.0029,0.5345210964212698
0.0031658291457286433,0.0029,0.5304723152093952
0.0032160804020100503,0.0029,0.5263641209112987
0.0032663316582914573,0.0029,0.5221898613394369
0.0033165829145728643,0.0029,0.5179428074645993
0.0033668341708542712,0.0029,0.5136149398595167
0.003417085427135678,0.0029,0.5091940688796797
0.0034673366834170856,0.0029,0.5046683528231635
0.0035175879396984926,0.0029,0.5000251723781124
0.0035678391959798996,0.0029,0.4952440501789396
0.0036180904522613066,0.0029,0.49030183414658746
0.0036683417085427135,0.0029,0.4851742919492423
0.0037185929648241205,0.0029,0.4798199466494515
0.0037688442211055275,0.0029,0.4741926541533218
0.003819095477386935,0.0029,0.46822353084821994
0.003869346733668342,0.0029,0.4618107375804459
0.003919597989949748,0.0029,0.45480275282092164
0.003969849246231155,0.0029,0.4469206569878001
0.004020100502512563,0.0029,0.4376310374365762
0.00407035175879397,0.0029,0.42542992408169994
0.004120603015075377,0.0029,0.39992867859102077
0.004170854271356784,0.0029,0.0052534771463130375
0.004221105527638191,0.0029,0.007637394961533456
0.004271356783919598,0.0029,0.010013197100930406
0.004321608040201005,0.0029,0.01238100982908189
0.004371859296482412,0.0029,0.014740936416327214
0.004422110552763819,0.0029,0.01709308458687005
0.004472361809045226,0.0029,0.0194375882749078
0.004522613065326633,0.0029,0.021774563916633998
0.00457286432160804,0.0029,0.0241041184536668
0.004623115577889447,0.0029,0.02642637830890764
0.004673366834170854,0.0029,0.028741474508142118
0.004723618090452261,0.0029,0.031049530396957653
0.004773869346733669,0.0029,0.03335067337873071
0.004824120603015076,0.0029,0.03564504666711117
0.004874371859296483,0.0029,0.037932754800499215
0.00492462311557789,0.0029,0.04021395684999201
0.004974874371859297,0.0029,0.0424887939528111
0.005025125628140704,0.0029,0.04475740996602703
0.005075376884422111,0.0029,0.04701995383811843
0.0051256281407035175,0.0029,0.049276554738808286
0.0051758793969849245,0.0029,0.051527409835118144
0.0052261306532663315,0.0029,0.05377264160908684
0.0052763819095477385,0.0029,0.05601245513148456
0.0053266331658291454,0.0029,0.058247006630303265
0.005376884422110552,0.0029,0.06047647409419951
0.005427135678391959,0.0029,0.06270105401865143
0.005477386934673367,0.0029,0.06492094619934277
0.005527638190954774,0.0029,0.06713635816996302
0.005577889447236181,0.0029,0.06934750626798052
0.005628140703517588,0.0029,0.071554624866552
0.005678391959798995,0.0029,0.07375797091942893
0.005728643216080402,0.0029,0.07595779892758449
0.005778894472361809,0.0029,0.07815438116675937
0.005829145728643216,0.0029,0.0803480357147645
0.005879396984924623,0.0029,0.08253907853783964
0.00592964824120603,0.0029,0.08472786742482663
0.005979899497487437,0.0029,0.08691478844360892
0.006030150753768844,0.0029,0.08910026998531649
0.006080402010050251,0.0029,0.09128478038709356
0.006130653266331658,0.0029,0.09346884507822945
0.006180904522613066,0.0029,0.0956530663286837
0.006231155778894473,0.0029,0.09783808480576096
0.00628140703517588,0.0029,0.10002471916164388
0.006331658291457287,0.0029,0.10221379922326498
0.006381909547738694,0.0029,0.10440641933952412
0.006432160804020101,0.0029,0.10660381089909386
0.006482412060301508,0.0029,0.10880739730217265
0.006532663316582915,0.0029,0.11101914898550007
0.0065829145728643216,0.0029,0.11324118637716679
0.0066331658291457285,0.0029,0.11547658650567329
0.0066834170854271355,0.0029,0.11772918057188178
0.0067336683417085425,0.0029,0.1200039928783078
0.0067839195979899495,0.0029,0.12230884684702276
0.006834170854271356,0.0029,0.12465417149689344
0.006884422110552763,0.0029,0.1270579981416697
0.006934673366834171,0.0029,0.1295508362700112
0.006984924623115578,0.0029,0.13219225636317472
0.007035175879396985,0.0029,0.13513723211662265
0.007085427135678392,0.0029,0.13894056481363656
0.007135678391959799,0.0029,0.15028136375089635
0.007185929648241206,0.0029,0.5337052571461937
0.007236180904522613,0.0029,0.5296445602194065
0.00728643216080402,0.0029,0.525523497489161
0.007336683417085427,0.0029,0.5213351085875808
0.007386934673366834,0.0029,0.5170730717529656
0.007437185929648241,0.0029,0.5127268828002699
0.007487437185929648,0.0029,0.5082852282124678
0.007537688442211055,0.0029,0.5037380759553023
0.007587939698492462,0.0029,0.4990682592351976
0.00763819095477387,0.0029,0.49425514467000087
0.007688442211055277,0.0029,0.48927966997847117
0.007738693467336684,0.0029,0.48410894822947403
0.007788944723618091,0.0029,0.47870454810717833
0.007839195979899497,0.0029,0.4730128458199515
0.007889447236180904,0.0029,0.4669640689465301
0.00793969849246231,0.0029,0.46044477885167895
0.007989949748743718,0.0029,0.4532868663953353
0.008040201005025126,0.0029,0.4451806323658702
0.008090452261306533,0.0029,0.4354747524497578
0.00814070351758794,0.0029,0.42223205254981494
0.008190954773869347,0.0029,0.37838178741539075
0.008241206030150754,0.0029,0.005737241664686474
0.008291457286432161,0.0029,0.008119508982714548
0.008341708542713568,0.0029,0.010493685933072467
0.008391959798994975,0.0029,0.012859887836124014
0.008442211055276382,0.0029,0.01521822720252609
0.00849246231155779,0.0029,0.01756881806674882
0.008542713567839196,0.0029,0.01991178622770528
0.008592964824120603,0.0029,0.02224724287584338
0.00864321608040201,0.0029,0.02457530935200412
0.008693467336683417,0.0029,0.026896120451052597
0.008743718592964824,0.0029,0.02920977458808203
0.008793969849246231,0.0029,0.03151642059591987
0.008844221105527638,0.0029,0.03381618530697378
0.008894472361809045,0.0029,0.036109178516276784
0.008944723618090452,0.0029,0.03839557027899281
0.008994974874371859,0.0029,0.04067547914966096
0.009045226130653266,0.0029,0.04294904247521524
0.009095477386934673,0.0029,0.04521640285615511
0.00914572864321608,0.0029,0.04747772514178948
0.009195979899497487,0.0029,0.049733166042962684
0.009246231155778894,0.0029,0.05198285169988325
0.0092964824120603,0.0029,0.054226983951121785
0.009346733668341708,0.0029,0.056465714925644866
0.009396984924623115,0.0029,0.058699213425879845
0.009447236180904522,0.0029,0.06092767314624752
0.00949748743718593,0.0029,0.06315128685440098
0.009547738693467337,0.0029,0.06537025495245387
0.009597989949748744,0.0029,0.06758478783649932
0.009648241206030151,0.0029,0.06979510552086204
0.009698492462311558,0.0029,0.07200143752225639
0.009748743718592965,0.0029,0.07420404361416655
0.009798994974874372,0.0029,0.07640319336961772
0.00984924623115578,0.0029,0.07859915861594508
0.009899497487437186,0.0029,0.08079225436062003
0.009949748743718593,0.0029,0.0829828121427936
0.01,0.0029,0.08517135613431362
0.0,0.002904081632653061,0.0
5.0251256281407036e-5,0.002904081632653061,0.002372236830892064
0.00010050251256281407,0.002904081632653061,0.004762711795594329
0.00015075376884422112,0.002904081632653061,0.007144964432686916
0.00020100502512562814,0.002904081632653061,0.009519104444406946
0.0002512562814070352,0.002904081632653061,0.011885242986915468
0.00030150753768844223,0.002904081632653061,0.014243497777569348
0.00035175879396984926,0.002904081632653061,0.016593979941171788
0.0004020100502512563,0.002904081632653061,0.018936807555258752
0.0004522613065326633,0.002904081632653061,0.021272102306591236
0.0005025125628140704,0.002904081632653061,0.02359997443869478
0.0005527638190954774,0.002904081632653061,0.02592053870281767
0.0006030150753768845,0.002904081632653061,0.02823394733832073
0.0006532663316582914,0.002904081632653061,0.03054029836092337
0.0007035175879396985,0.002904081632653061,0.03283971941656767
0.0007537688442211055,0.002904081632653061,0.03513235732358612
0.0008040201005025126,0.002904081632653061,0.037418333335118105
0.0008542713567839196,0.002904081632653061,0.039697798898668986
0.0009045226130653266,0.002904081632653061,0.04197087295133607
0.0009547738693467337,0.002904081632653061,0.044237701179812995
0.0010050251256281408,0.002904081632653061,0.046498433318312826
0.0010552763819095478,0.002904081632653061,0.04875324014491468
0.0011055276381909548,0.002904081632653061,0.05100224000041897
0.0011557788944723617,0.002904081632653061,0.05324563456514281
0.001206030150753769,0.002904081632653061,0.0554835501518926
0.001256281407035176,0.002904081632653061,0.057716181986852924
0.0013065326633165829,0.002904081632653061,0.05994371133547977
0.0013567839195979898,0.002904081632653061,0.06216632076544285
0.001407035175879397,0.002904081632653061,0.06438420405952774
0.001457286432160804,0.002904081632653061,0.06659756845299593
0.001507537688442211,0.002904081632653061,0.06880663292568463
0.0015577889447236182,0.002904081632653061,0.07101162562862069
0.0016080402010050252,0.002904081632653061,0.07321278299982532
0.0016582914572864321,0.002904081632653061,0.07541035777764388
0.001708542713567839,0.002904081632653061,0.07760464229933797
0.0017587939698492463,0.002904081632653061,0.0797959197720255
0.0018090452261306533,0.002904081632653061,0.08198450906947347
0.0018592964824120603,0.002904081632653061,0.08417076041501517
0.0019095477386934674,0.002904081632653061,0.08635504811463302
0.001959798994974874,0.002904081632653061,0.08853778290846859
0.0020100502512562816,0.002904081632653061,0.09071943092029372
0.0020603015075376886,0.002904081632653061,0.0929004874417239
0.0021105527638190956,0.002904081632653061,0.09508153554076564
0.0021608040201005025,0.002904081632653061,0.09726322184254318
0.0022110552763819095,0.002904081632653061,0.09944625611564405
0.0022613065326633165,0.002904081632653061,0.10163154587879185
0.0023115577889447235,0.002904081632653061,0.10382001553323868
0.0023618090452261304,0.002904081632653061,0.10601290159899078
0.002412060301507538,0.002904081632653061,0.10821161013410678
0.002462311557788945,0.002904081632653061,0.11041777837656276
0.002512562814070352,0.002904081632653061,0.11263371255229798
0.0025628140703517588,0.002904081632653061,0.11486195090112773
0.0026130653266331657,0.002904081632653061,0.11710617034405785
0.0026633165829145727,0.002904081632653061,0.1193711842064987
0.0027135678391959797,0.002904081632653061,0.12166333868575328
0.002763819095477387,0.002904081632653061,0.12399293653941008
0.002814070351758794,0.002904081632653061,0.12637457774013366
0.002864321608040201,0.002904081632653061,0.12883424842446686
0.002914572864321608,0.002904081632653061,0.13142171700958072
0.002964824120603015,0.002904081632653061,0.13424692793927948
0.003015075376884422,0.002904081632653061,0.13767548327729903
0.003065326633165829,0.002904081632653061,0.14427692664699177
0.0031155778894472364,0.002904081632653061,0.5348640228970281
0.0031658291457286433,0.002904081632653061,0.5308253395995652
0.0032160804020100503,0.002904081632653061,0.5267283907383832
0.0032663316582914573,0.002904081632653061,0.5225659469497541
0.0033165829145728643,0.002904081632653061,0.5183324866222442
0.0033668341708542712,0.002904081632653061,0.51401827373383
0.003417085427135678,0.002904081632653061,0.5096118873568066
0.0034673366834170856,0.002904081632653061,0.505104162189969
0.0035175879396984926,0.002904081632653061,0.5004794144414081
0.0035678391959798996,0.002904081632653061,0.4957176625851604
0.0036180904522613066,0.002904081632653061,0.4908011849996926
0.0036683417085427135,0.002904081632653061,0.48570135392529684
0.0037185929648241205,0.002904081632653061,0.48037967150189537
0.0037688442211055275,0.002904081632653061,0.4747893738317971
0.003819095477386935,0.002904081632653061,0.46887044765055236
0.003869346733668342,0.002904081632653061,0.46252009760608664
0.003919597989949748,0.002904081632653061,0.45559093787758315
0.003969849246231155,0.002904081632653061,0.44783908029305153
0.004020100502512563,0.002904081632653061,0.4387551790292661
0.00407035175879397,0.002904081632653061,0.4270492555256414
0.004120603015075377,0.002904081632653061,0.40539555080826734
0.004170854271356784,0.002904081632653061,0.004981895176853513
0.004221105527638191,0.002904081632653061,0.007363392094894816
0.004271356783919598,0.002904081632653061,0.009736795788737476
0.004321608040201005,0.002904081632653061,0.012102202964937268
0.004371859296482412,0.002904081632653061,0.014459743729729403
0.004422110552763819,0.002904081632653061,0.016809514839960536
0.004472361809045226,0.002904081632653061,0.019151646094293165
0.004522613065326633,0.002904081632653061,0.021486250600468246
0.00457286432160804,0.002904081632653061,0.023813446132122097
0.004623115577889447,0.002904081632653061,0.026133352334744734
0.004673366834170854,0.002904081632653061,0.02844609880131231
0.004723618090452261,0.002904081632653061,0.030751808641513084
0.004773869346733669,0.002904081632653061,0.03305060400130548
0.004824120603015076,0.002904081632653061,0.035342634952610696
0.004874371859296483,0.002904081632653061,0.03762799910233691
0.00492462311557789,0.002904081632653061,0.03990686190776637
0.004974874371859297,0.002904081632653061,0.04217935610326346
0.005025125628140704,0.002904081632653061,0.04444562325158604
0.005075376884422111,0.002904081632653061,0.04670581795689612
0.0051256281407035175,0.002904081632653061,0.048960076938326026
0.0051758793969849245,0.002904081632653061,0.05120855910841871
0.0052261306532663315,0.002904081632653061,0.05345143053021619
0.0052763819095477385,0.002904081632653061,0.05568887088098325
0.0053266331658291454,0.002904081632653061,0.05792102709343804
0.005376884422110552,0.002904081632653061,0.060148092332842046
0.005427135678391959,0.002904081632653061,0.06237025727259684
0.005477386934673367,0.002904081632653061,0.06458771834693261
0.005527638190954774,0.002904081632653061,0.0668006814262031
0.005577889447236181,0.002904081632653061,0.06900936187364252
0.005628140703517588,0.002904081632653061,0.07121398402504583
0.005678391959798995,0.002904081632653061,0.07341479633574576
0.005728643216080402,0.002904081632653061,0.07561206696827998
0.005778894472361809,0.002904081632653061,0.07780605969705623
0.005829145728643216,0.002904081632653061,0.0799970735983914
0.005879396984924623,0.002904081632653061,0.08218543686345316
0.00592964824120603,0.002904081632653061,0.08437148987976302
0.005979899497487437,0.002904081632653061,0.08655561601894295
0.006030150753768844,0.002904081632653061,0.08873823580349796
0.006080402010050251,0.002904081632653061,0.09091979951533168
0.006130653266331658,0.002904081632653061,0.09310083965978679
0.006180904522613066,0.002904081632653061,0.09528191125831788
0.006231155778894473,0.002904081632653061,0.09746368452855637
0.00628140703517588,0.002904081632653061,0.09964691150506738
0.006331658291457287,0.002904081632653061,0.10183241342145233
0.006381909547738694,0.002904081632653061,0.10402127458998822
0.006432160804020101,0.002904081632653061,0.10621460955348767
0.006482412060301508,0.002904081632653061,0.10841390738919672
0.006532663316582915,0.002904081632653061,0.11062094753908025
0.0065829145728643216,0.002904081632653061,0.11283778624047872
0.0066331658291457285,0.002904081632653061,0.11506742275108048
0.0066834170854271355,0.002904081632653061,0.11731329643165336
0.0067336683417085425,0.002904081632653061,0.11958040066921756
0.0067839195979899495,0.002904081632653061,0.12187577613793472
0.006834170854271356,0.002904081632653061,0.12420905435072829
0.006884422110552763,0.002904081632653061,0.1265968802511708
0.006934673366834171,0.002904081632653061,0.12906570426076833
0.006984924623115578,0.002904081632653061,0.13166793668834637
0.007035175879396985,0.002904081632653061,0.1345293964206033
0.007085427135678392,0.002904081632653061,0.13806227876914365
0.007135678391959799,0.002904081632653061,0.14559272102996595
0.007185929648241206,0.002904081632653061,0.5344951784289997
0.007236180904522613,0.002904081632653061,0.5304513163033101
0.00728643216080402,0.002904081632653061,0.5263484826642941
0.007336683417085427,0.002904081632653061,0.5221808179167685
0.007386934673366834,0.002904081632653061,0.5179395859730257
0.007437185929648241,0.002904081632653061,0.5136166059694185
0.007487437185929648,0.002904081632653061,0.5092030228715672
0.007537688442211055,0.002904081632653061,0.5046847623343824
0.007587939698492462,0.002904081632653061,0.5000465708580195
0.00763819095477387,0.002904081632653061,0.49527373720959456
0.007688442211055277,0.002904081632653061,0.49034181316667513
0.007738693467336684,0.002904081632653061,0.4852202608864917
0.007788944723618091,0.002904081632653061,0.4798778243392605
0.007839195979899497,0.002904081632653061,0.4742621706960354
0.007889447236180904,0.002904081632653061,0.46830462120975647
0.00793969849246231,0.002904081632653061,0.46191031087250833
0.007989949748743718,0.002904081632653061,0.45491802752036786
0.008040201005025126,0.002904081632653061,0.44706964101838254
0.008090452261306533,0.002904081632653061,0.43782150853296875
0.00814070351758794,0.002904081632653061,0.42573078462656544
0.008190954773869347,0.002904081632653061,0.4011205270344034
0.008241206030150754,0.002904081632653061,0.005200967654088877
0.008291457286432161,0.002904081632653061,0.007581717186391643
0.008341708542713568,0.002904081632653061,0.009954378678032717
0.008391959798994975,0.002904081632653061,0.012319060572278485
0.008442211055276382,0.002904081632653061,0.014675884947592335
0.00849246231155779,0.002904081632653061,0.017024948306060727
0.008542713567839196,0.002904081632653061,0.019366384523806495
0.008592964824120603,0.002904081632653061,0.02170029847851741
0.00864321608040201,0.002904081632653061,0.024026818891612334
0.008693467336683417,0.002904081632653061,0.026346071142308827
0.008743718592964824,0.002904081632653061,0.028658159111561013
0.008793969849246231,0.002904081632653061,0.03096322763012362
0.008844221105527638,0.002904081632653061,0.03326140435296713
0.008894472361809045,0.002904081632653061,0.03555280977848412
0.008944723618090452,0.002904081632653061,0.03783758234211259
0.008994974874371859,0.002904081632653061,0.040115850740101724
0.009045226130653266,0.002904081632653061,0.04238776687167715
0.009095477386934673,0.002904081632653061,0.04465347395559328
0.00914572864321608,0.002904081632653061,0.04691311108473258
0.009195979899497487,0.002904081632653061,0.049166822572482984
0.009246231155778894,0.002904081632653061,0.05141479760630123
0.0092964824120603,0.002904081632653061,0.05365715759102753
0.009346733668341708,0.002904081632653061,0.05589409173442713
0.009396984924623115,0.002904081632653061,0.058125782040668504
0.009447236180904522,0.002904081632653061,0.0603523964019971
0.00949748743718593,0.002904081632653061,0.06257412207709835
0.009547738693467337,0.002904081632653061,0.0647911589513676
0.009597989949748744,0.002904081632653061,0.06700371268064305
0.009648241206030151,0.002904081632653061,0.06921200544037859
0.009698492462311558,0.002904081632653061,0.07141627350246724
0.009748743718592965,0.002904081632653061,0.07361675750356254
0.009798994974874372,0.002904081632653061,0.07581370801094242
0.00984924623115578,0.002904081632653061,0.07800741335041116
0.009899497487437186,0.002904081632653061,0.08019817509970999
0.009949748743718593,0.002904081632653061,0.08238630687357831
0.01,0.002904081632653061,0.08457237314258209
0.0,0.0029081632653061226,0.0
5.0251256281407036e-5,0.0029081632653061226,0.0023689135693229385
0.00010050251256281407,0.0029081632653061226,0.004756050917718367
0.00015075376884422112,0.0029081632653061226,0.007134989255942496
0.00020100502512562814,0.0029081632653061226,0.009505836260650888
0.0002512562814070352,0.0029081632653061226,0.011868706449911226
0.00030150753768844223,0.0029081632653061226,0.01422370953716372
0.00035175879396984926,0.0029081632653061226,0.016570966632228547
0.0004020100502512563,0.0029081632653061226,0.01891058668017694
0.0004522613065326633,0.0029081632653061226,0.021242688279657675
0.0005025125628140704,0.0029081632653061226,0.023567392073980366
0.0005527638190954774,0.0029081632653061226,0.02588481049590237
0.0006030150753768845,0.0029081632653061226,0.028195082457551857
0.0006532663316582914,0.0029081632653061226,0.030498320694578307
0.0007035175879396985,0.0029081632653061226,0.032794644048130164
0.0007537688442211055,0.0029081632653061226,0.035084208627438954
0.0008040201005025126,0.0029081632653061226,0.03736711440173577
0.0008542713567839196,0.0029081632653061226,0.0396435265843046
0.0009045226130653266,0.0029081632653061226,0.04191356663192911
0.0009547738693467337,0.0029081632653061226,0.04417737308232132
0.0010050251256281408,0.0029081632653061226,0.046435106496715006
0.0010552763819095478,0.0029081632653061226,0.0486869176315417
0.0011055276381909548,0.0029081632653061226,0.0509329313065272
0.0011557788944723617,0.0029081632653061226,0.05317335202277775
0.001206030150753769,0.0029081632653061226,0.05540831065764468
0.001256281407035176,0.0029081632653061226,0.05763798668496254
0.0013065326633165829,0.0029081632653061226,0.05986256668139547
0.0013567839195979898,0.0029081632653061226,0.0620822354842283
0.001407035175879397,0.0029081632653061226,0.0642971865257261
0.001457286432160804,0.0029081632653061226,0.06650762463993717
0.001507537688442211,0.0029081632653061226,0.06871376506566779
0.0015577889447236182,0.0029081632653061226,0.0709158317244593
0.0016080402010050252,0.0029081632653061226,0.07311405778331394
0.0016582914572864321,0.0029081632653061226,0.07530871229802054
0.001708542713567839,0.0029081632653061226,0.0775000679535624
0.0017587939698492463,0.0029081632653061226,0.07968840495925106
0.0018090452261306533,0.0029081632653061226,0.08187405350984865
0.0018592964824120603,0.0029081632653061226,0.08405734756406037
0.0019095477386934674,0.0029081632653061226,0.08623866413836946
0.001959798994974874,0.0029081632653061226,0.08841841318194299
0.0020100502512562816,0.0029081632653061226,0.09059704279599361
0.0020603015075376886,0.0029081632653061226,0.09277506851016036
0.0021105527638190956,0.0029081632653061226,0.0949530305084508
