t,C,x
0.0,1.0e-7,0.0
5.0251256281407036e-5,1.0e-7,0.002319910080316085
0.00010050251256281407,1.0e-7,0.004634588662645588
0.00015075376884422112,1.0e-7,0.006941563373230392
0.00020100502512562814,1.0e-7,0.009240935162065488
0.0002512562814070352,1.0e-7,0.01153280512098804
0.00030150753768844223,1.0e-7,0.013817278075998128
0.00035175879396984926,1.0e-7,0.01609445119969249
0.0004020100502512563,1.0e-7,0.01836444010392408
0.0004522613065326633,1.0e-7,0.020627343375926775
0.0005025125628140704,1.0e-7,0.02288327748423279
0.0005527638190954774,1.0e-7,0.025132342769056362
0.0006030150753768845,1.0e-7,0.027374654531047315
0.0006532663316582914,1.0e-7,0.029610327745171718
0.0007035175879396985,1.0e-7,0.03183947587897506
0.0007537688442211055,1.0e-7,0.03406222095652421
0.0008040201005025126,1.0e-7,0.03627867280830866
0.0008542713567839196,1.0e-7,0.03848897055571952
0.0009045226130653266,1.0e-7,0.04069322354347023
0.0009547738693467337,1.0e-7,0.04289156824474924
0.0010050251256281408,1.0e-7,0.04508413640467112
0.0010552763819095478,1.0e-7,0.04727105822766581
0.0011055276381909548,1.0e-7,0.0494524785352108
0.0011557788944723617,1.0e-7,0.051628542102618795
0.001206030150753769,1.0e-7,0.05379939218803544
0.001256281407035176,1.0e-7,0.05596518318281597
0.0013065326633165829,1.0e-7,0.05812607887185843
0.0013567839195979898,1.0e-7,0.060282243105907296
0.001407035175879397,1.0e-7,0.062433846784735895
0.001457286432160804,1.0e-7,0.06458107127817793
0.001507537688442211,1.0e-7,0.06672410632283302
0.0015577889447236182,1.0e-7,0.06886315148487342
0.0016080402010050252,1.0e-7,0.07099841698770873
0.0016582914572864321,1.0e-7,0.07313012428992866
0.001708542713567839,1.0e-7,0.07525850882567603
0.0017587939698492463,1.0e-7,0.07738382341181649
0.0018090452261306533,1.0e-7,0.07950634207411661
0.0018592964824120603,1.0e-7,0.08162635541857191
0.0019095477386934674,1.0e-7,0.08374416945685402
0.001959798994974874,1.0e-7,0.08586012936354454
0.0020100502512562816,1.0e-7,0.0879746170033579
0.0020603015075376886,1.0e-7,0.09008805149726708
0.0021105527638190956,1.0e-7,0.09220087037051601
0.0021608040201005025,1.0e-7,0.09431358599971848
0.0022110552763819095,1.0e-7,0.0964267847740724
0.0022613065326633165,1.0e-7,0.09854113772200539
0.0023115577889447235,1.0e-7,0.10065736971957132
0.0023618090452261304,1.0e-7,0.10277633726671631
0.002412060301507538,1.0e-7,0.10489907676598897
0.002462311557788945,1.0e-7,0.10702683012685146
0.002512562814070352,1.0e-7,0.10916105924989647
0.0025628140703517588,1.0e-7,0.11130350617282793
0.0026130653266331657,1.0e-7,0.1134564476723097
0.0026633165829145727,1.0e-7,0.11562282467031784
0.0027135678391959797,1.0e-7,0.11780651293028412
0.002763819095477387,1.0e-7,0.12001260278707235
0.002814070351758794,1.0e-7,0.12224853293787084
0.002864321608040201,1.0e-7,0.12452591731312432
0.002914572864321608,1.0e-7,0.12686245007215122
0.002964824120603015,1.0e-7,0.12929271202910725
0.003015075376884422,1.0e-7,0.13189079141587723
0.003065326633165829,1.0e-7,0.1349042797858675
0.0031155778894472364,1.0e-7,0.536152737729923
0.0031658291457286433,1.0e-7,0.5322848302836857
0.0032160804020100503,1.0e-7,0.5283395217790776
0.0032663316582914573,1.0e-7,0.5243359620361194
0.0033165829145728643,1.0e-7,0.5202672182584592
0.0033668341708542712,1.0e-7,0.5161266988049366
0.003417085427135678,1.0e-7,0.5119043524607396
0.0034673366834170856,1.0e-7,0.5075917291100437
0.0035175879396984926,1.0e-7,0.5031778605240729
0.0035678391959798996,1.0e-7,0.498645541392712
0.0036180904522613066,1.0e-7,0.49398011717910717
0.0036683417085427135,1.0e-7,0.4891586144742059
0.0037185929648241205,1.0e-7,0.48415420364687684
0.0037688442211055275,1.0e-7,0.4789291787611721
0.003819095477386935,1.0e-7,0.47343616205242084
0.003869346733668342,1.0e-7,0.4676089496417762
0.003919597989949748,1.0e-7,0.4613526167718148
0.003969849246231155,1.0e-7,0.45451455981433425
0.004020100502512563,1.0e-7,0.446828721696335
0.00407035175879397,1.0e-7,0.4377577748178775
0.004120603015075377,1.0e-7,0.4257466177117773
0.004170854271356784,1.0e-7,0.004834889406123407
0.004221105527638191,1.0e-7,0.0071411941255696025
0.004271356783919598,1.0e-7,0.009439911465001324
0.004321608040201005,1.0e-7,0.011731137252257183
0.004371859296482412,1.0e-7,0.014014970555568319
0.004422110552763819,1.0e-7,0.016291520843535412
0.004472361809045226,1.0e-7,0.018560891530225873
0.004522613065326633,1.0e-7,0.020823187121834185
0.00457286432160804,1.0e-7,0.02307851335695848
0.004623115577889447,1.0e-7,0.0253269893654679
0.004673366834170854,1.0e-7,0.027568723507545533
0.004723618090452261,1.0e-7,0.029803825205363517
0.004773869346733669,1.0e-7,0.03203241514894498
0.004824120603015076,1.0e-7,0.034254606792086625
0.004874371859296483,1.0e-7,0.03647052904583215
0.00492462311557789,1.0e-7,0.03868028916831394
0.004974874371859297,1.0e-7,0.04088402546648342
0.005025125628140704,1.0e-7,0.04308186418341865
0.005075376884422111,1.0e-7,0.045273937440155954
0.0051256281407035175,1.0e-7,0.04746038243984971
0.0051758793969849245,1.0e-7,0.049641329897811184
0.0052261306532663315,1.0e-7,0.051816936486501874
0.0052763819095477385,1.0e-7,0.05398733941885057
0.0053266331658291454,1.0e-7,0.05615270366854241
0.005376884422110552,1.0e-7,0.05831318292420942
0.005427135678391959,1.0e-7,0.060468943061781494
0.005477386934673367,1.0e-7,0.06262015935185912
0.005527638190954774,1.0e-7,0.06476701308678949
0.005577889447236181,1.0e-7,0.06690969434481857
0.005628140703517588,1.0e-7,0.06904840283259382
0.005678391959798995,1.0e-7,0.07118335011311612
0.005728643216080402,1.0e-7,0.07331476096788753
0.005778894472361809,1.0e-7,0.07544287122576568
0.005829145728643216,1.0e-7,0.07756793268054826
0.005879396984924623,1.0e-7,0.07969021806837676
0.00592964824120603,1.0e-7,0.08181002491455037
0.005979899497487437,1.0e-7,0.08392767205720102
0.006030150753768844,1.0e-7,0.08604349224095344
0.006080402010050251,1.0e-7,0.08815786581005676
0.006130653266331658,1.0e-7,0.09027121685330856
0.006180904522613066,1.0e-7,0.09238401722789392
0.006231155778894473,1.0e-7,0.09449676130323884
0.00628140703517588,1.0e-7,0.09661002823412634
0.006331658291457287,1.0e-7,0.09872449117679749
0.006381909547738694,1.0e-7,0.10084092966120754
0.006432160804020101,1.0e-7,0.10296020672203757
0.006482412060301508,1.0e-7,0.10508333174969431
0.006532663316582915,1.0e-7,0.10721155462935492
0.0065829145728643216,1.0e-7,0.10934639731137029
0.0066331658291457285,1.0e-7,0.1114897077300711
