N,e_tauit
9.0,0.07795210050871033
10.0,0.08826249387272617
11.0,0.1438164342396304
12.0,0.1030288787818159
13.0,0.07478398637957213
14.0,0.06261471868157484
15.0,0.06954210045922705
16.0,0.062259834171269374
17.0,0.06624880335517512
18.0,0.06265558402957314
19.0,0.06287641220805303
20.0,0.06817312937271386
21.0,0.06452451394362158
22.0,0.052590848210162335
23.0,0.04825931783171157
24.0,0.0492857271006184
25.0,0.04182339056608439
26.0,0.027183606587143964
27.0,0.02243557662635643
28.0,0.02219503387846785
29.0,0.022799963373227244
30.0,0.027507751503583346
31.0,0.02741214197041052
32.0,0.02919757011269698
33.0,0.029566183434526636
34.0,0.029915281090498586
35.0,0.028798222731327306
36.0,0.025853437864864826
37.0,0.025379438875951333
38.0,0.02594015184078918
39.0,0.02520900295031669
40.0,0.02342071550620539
41.0,0.02343756773622545
42.0,0.0197555163519461
43.0,0.017433244981594813
44.0,0.017324887770518677
45.0,0.017420476354830707
46.0,0.017519721933561393
47.0,0.017491678625447184
48.0,0.01750911141174978
49.0,0.01952311106160666
50.0,0.01863669155592453
51.0,0.018714291528997742
52.0,0.01868331730568659
53.0,0.01726419039709672
54.0,0.017151853335402163
55.0,0.013853229870236029
56.0,0.01290537211770702
57.0,0.012754053482924826
58.0,0.011992854159350875
59.0,0.011902600110638659
60.0,0.012405651778940853
61.0,0.012349465263097477
62.0,0.012238792127693748
63.0,0.012471572397391602
64.0,0.012709518391412478
65.0,0.012730609306168015
66.0,0.012378597427008921
67.0,0.012216616046255811
68.0,0.012332305530173674
69.0,0.012456726065820748
70.0,0.012380607727050736
71.0,0.012378688130311068
72.0,0.012366852550406924
73.0,0.012370119965530411
74.0,0.012738408338892006
75.0,0.012738636898217252
76.0,0.012708895009465237
77.0,0.013274240403633826
78.0,0.013284217133413184
79.0,0.012978386137749987
80.0,0.012871261444006476
81.0,0.012881305326943959
82.0,0.012968867092434241
83.0,0.01282033187239595
84.0,0.012792315181678473
85.0,0.012671698579197019
86.0,0.012598157820041426
87.0,0.007180248347374698
88.0,0.007116018126052547
89.0,0.0076918020502974764
90.0,0.0076866795688063354
91.0,0.007425651973926174
92.0,0.00734125637756075
93.0,0.007182296259129447
94.0,0.007129714891244768
95.0,0.007123605872431425
96.0,0.0071253036153105815
97.0,0.007094297845265813
98.0,0.007093626841466792
99.0,0.006941890393680652
100.0,0.00694557986423744
101.0,0.006932245608308498
102.0,0.0069881258571597
103.0,0.007153764429172326
104.0,0.007126679798373016
105.0,0.0071394838129808
106.0,0.007138646138032663
107.0,0.007271568568948441
108.0,0.007271448009775026
109.0,0.0071761953897590295
110.0,0.007175763195087749
111.0,0.007205204770612992
112.0,0.007065621198362104
113.0,0.007001398395792948
114.0,0.006992539186824808
115.0,0.0069957479668097304
116.0,0.006775521462429151
117.0,0.006719544232440886
118.0,0.006724051248230133
119.0,0.006726425252931551
120.0,0.0074008536915426614
121.0,0.007301534104434562
122.0,0.005427577689348955
123.0,0.005508020992896315
124.0,0.005489041240984607
125.0,0.005486061009204846
126.0,0.005492674656360242
127.0,0.005507833750330606
128.0,0.005543608521693625
129.0,0.0055845234572915944
130.0,0.005577633943631017
131.0,0.005605040191730807
132.0,0.005605183625960366
133.0,0.005612122617355138
134.0,0.005612928023175583
135.0,0.005609005912408396
136.0,0.00576960964636323
137.0,0.0058020635695755895
138.0,0.0058201002922547975
139.0,0.00605693857777068
140.0,0.005724898935693414
141.0,0.005664523587429173
142.0,0.005626643338315845
143.0,0.005697807048958806
144.0,0.005679771550859659
145.0,0.005679028288723938
146.0,0.005687236901972094
147.0,0.005687851689986894
148.0,0.005687366939896352
149.0,0.005191463642215995
150.0,0.005092719751215997
151.0,0.005015936156340848
152.0,0.005013592414201341
153.0,0.004943726413964368
154.0,0.004922478911357938
155.0,0.004898481116715799
156.0,0.004915794151163953
157.0,0.004914951191439168
158.0,0.004913890760958116
159.0,0.004913067491461924
160.0,0.004915029218036312
161.0,0.004894812967924486
162.0,0.00487715575248177
163.0,0.004874204190991199
164.0,0.004875247696132913
165.0,0.004876368670837191
166.0,0.004833384293089505
167.0,0.004836936610192407
168.0,0.004450231392120373
169.0,0.0038966292632828395
170.0,0.0038948774550491934
171.0,0.0037943966866592193
172.0,0.0037844650665744385
173.0,0.003752378070217967
174.0,0.0035367713538910837
175.0,0.0036477625948395922
176.0,0.0036512119313249184
177.0,0.003650258280249518
178.0,0.0036467486432621887
179.0,0.0036354172366823757
180.0,0.0036346861810754734
181.0,0.0036350062935244366
182.0,0.003635955486010377
183.0,0.0033433171053025303
184.0,0.0033430509237392264
