N,e_x
3.0,1.1447491635766287
4.0,1.0740790821128212
5.0,0.9309618741659978
6.0,0.8554905083216514
7.0,1.0851249909515925
8.0,0.9889666056647308
9.0,0.7115650695092689
10.0,1.5306536612256383
11.0,1.2628069113587483
12.0,0.7858552511941523
13.0,0.7690847521343042
14.0,0.7812611966725689
15.0,0.790405807626052
16.0,0.8147150407289134
17.0,0.7571720151612342
18.0,0.7574848349384606
19.0,0.6650696486928196
20.0,0.6800661221396791
21.0,0.7153518707651418
22.0,0.7162362570538564
23.0,0.6769095413910757
24.0,0.6412606428482249
25.0,0.6991794697610983
26.0,0.7737125066481945
27.0,0.767265949880751
28.0,0.7667637354007885
29.0,0.7672088329057436
30.0,0.655361938989808
31.0,0.6509917632414779
32.0,0.6387536212073633
33.0,0.6298880170646444
34.0,0.6340918686431541
35.0,0.6377940073045156
36.0,0.6348410198312452
37.0,0.6321768952446492
38.0,0.6350849778012799
39.0,0.6337091185413878
40.0,0.6299389132302806
41.0,0.6176106420336074
42.0,0.6123663031314024
43.0,0.5898679555266084
44.0,0.6561846770616057
45.0,0.6537726824342385
46.0,0.650984721745396
47.0,0.649333264850418
48.0,0.6474699396693858
49.0,0.6499545753887008
50.0,0.6462037207326532
51.0,0.6378321387791305
52.0,0.6306581311338447
53.0,0.6503907637186535
54.0,0.6277718710791432
55.0,0.6291444329170243
56.0,0.6288516532901189
57.0,0.6302035612890028
58.0,0.6298739390670188
59.0,0.6276031722956417
60.0,0.6219648907952401
61.0,0.6211924450972199
62.0,0.6214504374876575
63.0,0.620635234347563
64.0,0.6199538723899786
65.0,0.6195057412124291
66.0,0.6186940210850744
67.0,0.6181616371526674
68.0,0.6121950722850096
69.0,0.6120141984144337
70.0,0.5985717860023172
71.0,0.5947386655283257
72.0,0.5944653241770684
73.0,0.5951236032619632
74.0,0.5946552101031267
75.0,0.5950663035607584
76.0,0.5906324594777324
77.0,0.5912509440956544
78.0,0.590973462573512
79.0,0.5900127590627043
80.0,0.5846450248097906
81.0,0.5845110610566949
82.0,0.5918738132241866
83.0,0.5916829258775358
84.0,0.5922071722462477
85.0,0.5928943567474644
86.0,0.5927418268556037
87.0,0.5925420836533659
88.0,0.594371789714463
89.0,0.5940039249306319
90.0,0.5938322565127571
91.0,0.5930484215374952
92.0,0.5930067052228081
93.0,0.5928834523572447
94.0,0.5927191196718041
95.0,0.5925188955544046
96.0,0.5721876565552145
97.0,0.5720617949655186
98.0,0.5725220075288046
99.0,0.5731275895565876
100.0,0.572891016303653
101.0,0.573116306565921
102.0,0.5728250601391857
103.0,0.572615273639947
104.0,0.5724322956746177
105.0,0.5732913799099014
106.0,0.5732420091172026
107.0,0.5734226904205847
108.0,0.45129254156873344
109.0,0.4532658891928049
110.0,0.4755950242592749
111.0,0.47396666376960966
112.0,0.47402595569220546
113.0,0.4724610237927003
114.0,0.47076976487040023
115.0,0.4716992447608421
116.0,0.3223629937978336
117.0,0.3221566004064488
118.0,0.3199733286846315
119.0,0.32027588838562937
120.0,0.3200707959937673
121.0,0.31976990512128456
122.0,0.32011764200164217
123.0,0.3198932632732127
124.0,0.31926370327763104
125.0,0.32038589319030036
126.0,0.320266446449179
127.0,0.3195487698970764
128.0,0.31934303938655223
129.0,0.319589351272125
130.0,0.31387839862425837
131.0,0.31420490328250333
132.0,0.3130609907696929
133.0,0.3282815616810853
134.0,0.3279503348500247
135.0,0.3256103257923822
136.0,0.32541521833105924
137.0,0.32577718869426386
138.0,0.32526534776131083
139.0,0.32521164311991985
140.0,0.31133148205362826
141.0,0.3109510229097956
142.0,0.3115005416890623
143.0,0.31206170838059566
144.0,0.31287306085590894
145.0,0.31641033029111854
146.0,0.3169409203928203
147.0,0.3162970088685459
148.0,0.31592884491782136
149.0,0.3164246742143995
150.0,0.3134105327661624
151.0,0.31268302108939955
152.0,0.31264140625962145
153.0,0.3112906109795464
154.0,0.3123247553194487
155.0,0.31308210793902996
156.0,0.3132986443205613
157.0,0.31351350338457856
158.0,0.3139413179634468
159.0,0.31334627652411556
160.0,0.31342954355826375
161.0,0.3129584858208776
162.0,0.31365910034727407
163.0,0.31416896541013695
164.0,0.3160904593753412
165.0,0.31646146172327416
166.0,0.31678265782189907
167.0,0.30739129649300656
168.0,0.31033676094924767
169.0,0.3107130426199947
170.0,0.32269676388652196
171.0,0.3224306257947919
172.0,0.3221952910681187
173.0,0.3070134655274895
174.0,0.29785417545250586
175.0,0.3019264483466571
176.0,0.29584783444718704
177.0,0.29144365358478624
178.0,0.29183320033559745
179.0,0.2773513206720584
180.0,0.2758183787171454
181.0,0.2117545652797623
182.0,0.21168851512892617
183.0,0.21042163606717132
184.0,0.21042881404585737
185.0,0.21758615961258307
186.0,0.21873157247519986
187.0,0.19140590743568453
188.0,0.19105223094635904
189.0,0.18266625902617503
190.0,0.20851041481609636
191.0,0.22242747406887486
192.0,0.22249187492843903
193.0,0.2194944997159501
194.0,0.22055134851651303
195.0,0.21745729545156725
196.0,0.2174707479639527
197.0,0.21819035942528334
198.0,0.21737275508398626
199.0,0.217128035151677
