N,e_xt
3.0,1.190918436038352
4.0,1.2104078523898092
5.0,1.207540847221723
6.0,1.1609208488346558
7.0,1.1519860054938116
8.0,0.5574663101988416
9.0,0.5444182875472032
10.0,0.549187398614642
11.0,0.46669605898996297
12.0,0.46730498764605266
13.0,0.3482269164514217
14.0,0.3468459758982325
15.0,0.2989786435979515
16.0,0.3021772855655731
17.0,0.29536315950063613
18.0,0.20334852641655785
19.0,0.20636173441238054
20.0,0.09518108111140124
21.0,0.09343837791311005
22.0,0.0818011985713628
23.0,0.07651649318327791
24.0,0.07627561761098978
25.0,0.07683612098963978
26.0,0.0646369596077118
27.0,0.06463805487738418
28.0,0.06422559830762047
29.0,0.061280670152313935
30.0,0.05325880284282711
31.0,0.04913554746715977
32.0,0.047225026211450666
33.0,0.04717742975968915
34.0,0.044248736821125116
35.0,0.03776180165745859
36.0,0.03884991237066212
37.0,0.036660273222041115
38.0,0.039497921445233106
39.0,0.03948918351351606
40.0,0.03773628382441708
41.0,0.022124355198508635
42.0,0.021800539634008673
43.0,0.02182189492826272
44.0,0.020218926153412493
45.0,0.020163077814869115
46.0,0.020165718466652743
47.0,0.02015240336310372
48.0,0.020042133988035404
49.0,0.017861121565683827
50.0,0.017451814789956464
51.0,0.015751939598944616
52.0,0.015746393645876537
53.0,0.01453518148299553
54.0,0.014533141651476941
55.0,0.014529796573143267
56.0,0.01452319676000968
57.0,0.012694635977752751
58.0,0.012691567524099053
59.0,0.013421274528684081
60.0,0.009151703992368362
61.0,0.009143039829969137
62.0,0.00922786250309577
63.0,0.009212829930094438
64.0,0.009296054661159322
65.0,0.009298865384803814
66.0,0.00929661525080568
67.0,0.009137607583579396
68.0,0.008716601810529209
69.0,0.008509151870637572
70.0,0.008340857078459454
71.0,0.007485975375695246
72.0,0.007459654135669776
73.0,0.0068941060855569
74.0,0.0066592653819920085
75.0,0.006640882933611205
76.0,0.006640803840016684
77.0,0.006640692746527219
78.0,0.006633567529173305
79.0,0.006384925965799704
80.0,0.006210211069158998
81.0,0.0062102073253893055
82.0,0.006116215560633429
83.0,0.006114714099654246
84.0,0.0061133101501273344
85.0,0.005556143515276395
86.0,0.005535548913349567
87.0,0.005532500429517882
88.0,0.0040441750709044235
89.0,0.004042163237839257
90.0,0.00402850685265486
91.0,0.004028478706116959
92.0,0.004016159115834226
93.0,0.004016067624463701
94.0,0.0035624843689270433
95.0,0.0035624689456976925
96.0,0.0035315795595495737
97.0,0.003531577305392662
98.0,0.003531559671456494
99.0,0.003520571230365163
100.0,0.0035205702444870966
101.0,0.003520509878658051
102.0,0.003520041597889234
103.0,0.003520039293070522
104.0,0.0035379140477745
105.0,0.00353493533061323
106.0,0.0035349373247573713
107.0,0.0033388708919179747
108.0,0.003009202255226911
109.0,0.0030081774540216158
110.0,0.0030076406472739447
111.0,0.0030058892789594045
112.0,0.0030008171358382636
113.0,0.0030007875667860677
114.0,0.0030007851743920743
115.0,0.0030007774574347256
116.0,0.0029950602234556614
117.0,0.0022961150351573445
118.0,0.0022961051381698073
119.0,0.0022923631688295345
120.0,0.002291925284346012
121.0,0.002291921396573922
122.0,0.001624180728338096
123.0,0.0016222650796609967
124.0,0.0016222583682764203
125.0,0.0016222533873697105
126.0,0.0016222569991470076
127.0,0.0015954037073671122
128.0,0.0015909736961264328
129.0,0.0015909737173473147
130.0,0.001590931258650135
131.0,0.0015909314681486699
132.0,0.001565299352248855
133.0,0.0015652961164326722
134.0,0.001565297573283573
135.0,0.0015651017612775577
136.0,0.0015160171300404844
137.0,0.0015160161761945195
138.0,0.0015139814159561068
139.0,0.001513980394846224
140.0,0.0015138904924961382
141.0,0.0015138905719614558
142.0,0.0015137592875269627
143.0,0.0014782693722681253
144.0,0.0014782659605888026
145.0,0.0014782659425098834
146.0,0.0014782515348641676
147.0,0.0014780593816424914
148.0,0.0014780593461558693
149.0,0.0014775509675973202
150.0,0.0013183334753988
151.0,0.001278315208115946
152.0,0.0012761010394114886
153.0,0.0012760865131102297
154.0,0.0012751437971153386
155.0,0.001275143567420661
156.0,0.0012736739239601895
157.0,0.0012736735774503483
158.0,0.001275747329958506
159.0,0.0012757473049133708
160.0,0.0012758543825346054
161.0,0.001275572622752986
162.0,0.001273632690479771
163.0,0.0012688829286393135
164.0,0.001268391140957748
165.0,0.0012683483544904406
166.0,0.001268705586251014
167.0,0.0012686838806515598
168.0,0.0012646754682793576
169.0,0.0012646754449797877
170.0,0.0012646583385131705
171.0,0.0012646572944122194
172.0,0.0012646572761799456
173.0,0.0012646572481514718
174.0,0.0012645093607703169
175.0,0.0012643770842868743
176.0,0.0012643764496860462
177.0,0.0012643410282720169
178.0,0.0011842196354652351
179.0,0.0011842144898442158
180.0,0.0011842145777342
181.0,0.0011842145404666845
182.0,0.001184214551449188
183.0,0.0011842119055272932
184.0,0.0011463883350277223
185.0,0.0011463883599530883
186.0,0.001146388345288341
187.0,0.0011463884607817963
188.0,0.0011463884439234767
189.0,0.0011463884180392555
190.0,0.0011463884380866036
191.0,0.0011463884644065056
192.0,0.0008079897191842184
193.0,0.0008079895784712848
194.0,0.0008079892663152622
195.0,0.000804119751968528
196.0,0.0008117803264483952
197.0,0.0008117521598064051
198.0,0.000811752573318243
199.0,0.0008117522881244618
