N,e_x
9.0,1.1056657573683775
10.0,1.088219123050814
11.0,1.0946322685874856
12.0,1.031453386994301
13.0,0.813570912180638
14.0,0.8546934011431503
15.0,0.9082136703791759
16.0,0.836562609881666
17.0,0.8370238210804771
18.0,0.8337544516686889
19.0,0.852652094432121
20.0,0.8527476810068088
21.0,0.8486088263329102
22.0,0.8672189693496821
23.0,0.8515382094139134
24.0,0.8100018374689845
25.0,0.7679332525622412
26.0,0.7897809613159388
27.0,0.7886431245787849
28.0,0.8924394783558688
29.0,0.8933126603052695
30.0,0.8938343042303265
31.0,0.8927893258010993
32.0,0.8670987017390371
33.0,0.8670023992833257
34.0,0.8666649279549269
35.0,0.8531304504371399
36.0,0.8474741481409097
37.0,0.8476729075183889
38.0,0.8457117013741334
39.0,0.844866243472313
40.0,0.8590640762064532
41.0,0.8564910714315178
42.0,0.8546814479492836
43.0,0.8550481862616559
44.0,0.8828237588972705
45.0,0.8809598908797597
46.0,0.8811518977479902
47.0,0.8808127922496493
48.0,0.8807012912299295
49.0,0.8797597775657626
50.0,0.8704102192345246
51.0,0.8702132732416301
52.0,0.868111477226823
53.0,0.8569116937858843
54.0,0.8541886442679048
55.0,0.8544440886500856
56.0,0.8542242203271435
57.0,0.8635798466494656
58.0,0.863170270908401
59.0,0.8566196864383816
60.0,0.8563688341273148
61.0,0.856155532043349
62.0,0.8561718511348528
63.0,0.8559226124308591
64.0,0.8554620298951825
65.0,0.8552342519855943
66.0,0.821123769123103
67.0,0.8205486929902868
68.0,0.8204399072616461
69.0,0.8082629812703039
70.0,0.8081088890079204
71.0,0.8087906431944173
72.0,0.8086845454551315
73.0,0.8139441645256031
74.0,0.8138377489248887
75.0,0.8123022014329271
76.0,0.8122173711548617
77.0,0.8125492163165877
78.0,0.8124423051194117
79.0,0.8127198762853352
80.0,0.6847120320608476
81.0,0.6847483684323146
82.0,0.6844143758128679
83.0,0.6844209775917007
84.0,0.6847178601180185
85.0,0.6846027457493851
86.0,0.6846287381004098
87.0,0.6846620985416876
88.0,0.7084007918770057
89.0,0.7032361768460482
90.0,0.7032228383524459
91.0,0.7031907816705331
92.0,0.703390617547108
93.0,0.7113441083332664
94.0,0.7113778862415455
95.0,0.7114098501285212
96.0,0.7094129970608627
97.0,0.7119340189685858
98.0,0.7119664868635521
99.0,0.7119960280995726
100.0,0.7117881528898873
101.0,0.711887232804292
102.0,0.7119079115676683
103.0,0.7118905685699022
104.0,0.6724494437306082
105.0,0.6760924690081322
106.0,0.6756430917864474
107.0,0.6755844927649531
108.0,0.67554607107681
109.0,0.6756100389403739
110.0,0.6756484714178121
111.0,0.6727196934216998
112.0,0.6721225559944023
113.0,0.6720586163611054
114.0,0.6720159588502091
115.0,0.6720390380811045
116.0,0.672064100374607
117.0,0.6721233276144744
118.0,0.6721626501067149
119.0,0.6721221289448917
120.0,0.672074857628764
121.0,0.6710066271569197
122.0,0.678787342155265
123.0,0.679781630699923
124.0,0.6797512285855911
125.0,0.6797256417330654
126.0,0.6845022055944706
127.0,0.6844217414378015
128.0,0.6844757739119632
129.0,0.6843984912195257
130.0,0.6843308176765253
131.0,0.6843814867424746
132.0,0.6844225345252137
133.0,0.6844741514574072
134.0,0.6932135205125858
135.0,0.6927240826009867
136.0,0.6927104311145494
137.0,0.6897333884698573
138.0,0.6927789382229732
139.0,0.6923197253124999
140.0,0.6922996444105918
141.0,0.6922859208908808
142.0,0.692281263350799
143.0,0.7003446120915127
144.0,0.7011531865597459
145.0,0.7010415749232272
146.0,0.7010295668179148
147.0,0.7392213468311845
148.0,0.739180385314739
149.0,0.7391537900752304
150.0,0.7391052081134627
151.0,0.7306581953723912
152.0,0.7303923840495861
153.0,0.7217389101685363
154.0,0.7216815508074035
155.0,0.7180493220634618
156.0,0.7180408129478159
157.0,0.7209337983171885
158.0,0.7250907378213022
159.0,0.7248780661761008
160.0,0.7248583811394641
161.0,0.7248389824372956
162.0,0.7251854947352099
163.0,0.7251715462899624
164.0,0.7251516669913378
165.0,0.7251789085908283
166.0,0.7256728384363907
167.0,0.7256973542714581
168.0,0.7258654081199455
169.0,0.735164653186455
170.0,0.73348906529679
171.0,0.7335363101903215
172.0,0.7335550787649083
173.0,0.7333461335945641
174.0,0.7335622436331504
175.0,0.6981641145005483
176.0,0.6979707244572604
177.0,0.6975891199093617
178.0,0.6736341914046308
179.0,0.6729843248869886
180.0,0.6730625317651984
181.0,0.6727569940627821
182.0,0.6731274136092693
183.0,0.6751312777505158
184.0,0.6740772450445531
185.0,0.6741180443951914
186.0,0.6740891750770568
187.0,0.6025484596040477
188.0,0.6024462312539596
189.0,0.6024957389973083
190.0,0.6024742374590494
191.0,0.5982081131964524
192.0,0.5981900759498211
193.0,0.5982259038471981
194.0,0.5859258082563777
195.0,0.5842574526636812
196.0,0.5842565946643322
197.0,0.5842017253313655
198.0,0.5829011198748112
199.0,0.5829058649463056
200.0,0.5829051003015641
201.0,0.5815259854711038
202.0,0.5815182963696843
203.0,0.5814580064790487
204.0,0.5814472356880057
205.0,0.5726907117162618
206.0,0.5727309777876539
207.0,0.5732332987048006
208.0,0.5732449871274592
209.0,0.5732349891292561
210.0,0.5732509189715738
211.0,0.5732420272351821
212.0,0.5739116306002812
213.0,0.535184842316177
214.0,0.5352047896217738
215.0,0.5305618782683469
216.0,0.5305203967869079
217.0,0.530496104905329
218.0,0.47638306147791576
219.0,0.47636226305256196
220.0,0.4602830587055763
221.0,0.4620011826834653
222.0,0.49879895997686313
223.0,0.4988064714632868
224.0,0.5050407339512194
225.0,0.5056251767357569
226.0,0.49697201993551604
227.0,0.49850125230200304
228.0,0.4983612308320772
229.0,0.4915494571580922
230.0,0.4918166585049855
231.0,0.49181723076036554
232.0,0.4918229531387956
233.0,0.49086772655665745
234.0,0.49086679196060523
235.0,0.49092490875057865
236.0,0.4914387211796188
237.0,0.4930269687871825
238.0,0.49301994188638587
239.0,0.4930191897309898
240.0,0.48514945693968586
241.0,0.506749463397444
242.0,0.5067215029869427
243.0,0.5067164913760122
244.0,0.5067072885441685
245.0,0.5067481148204368
246.0,0.5059017021519621
247.0,0.5066026189193878
248.0,0.5065887893578204
249.0,0.5065557656421299
250.0,0.5065514672052088
251.0,0.5055146861138019
252.0,0.505440050370604
253.0,0.505478688958725
254.0,0.5054760774934307
255.0,0.5050047663159044
256.0,0.5048972274529628
257.0,0.5048984275656762
258.0,0.5033917689080887
259.0,0.5010459567172578
260.0,0.5010434109249161
261.0,0.5010303229030505
262.0,0.5009784967710235
263.0,0.5009761828784093
264.0,0.5008531027972634
265.0,0.5016827394875747
266.0,0.5024006786353271
267.0,0.5023964469351377
268.0,0.5025013819265607
269.0,0.5028371076471313
270.0,0.49259960363869343
271.0,0.4926007344701442
272.0,0.4925900264998917
273.0,0.4925833275980736
274.0,0.4926213430808857
275.0,0.49261782497404655
276.0,0.49263740883875246
277.0,0.4926409788389819
278.0,0.4926376833358128
279.0,0.49637963038239824
280.0,0.4959860923966139
281.0,0.4989829735098656
282.0,0.4892990048281938
283.0,0.4897777699282096
284.0,0.48977732019340026
285.0,0.503694416855073
286.0,0.5014809174226278
287.0,0.5014807302888662
288.0,0.5014780253409299
289.0,0.5014793159781951
290.0,0.5015124730548537
291.0,0.5014453578152408
292.0,0.5005717559865283
293.0,0.5005668052014796
294.0,0.5005061220204662
295.0,0.5005583053176582
296.0,0.5005186057568518
297.0,0.5005038776773225
298.0,0.5005064532357724
299.0,0.5006412460281446
300.0,0.5005351159382048
301.0,0.5005353025947763
302.0,0.5005345875178593
303.0,0.4990388827577953
304.0,0.49902811483738435
305.0,0.4990107542119677
306.0,0.4988812953701793
307.0,0.49885866906397863
308.0,0.49866776968019116
309.0,0.49865007374904363
310.0,0.49871014744387715
311.0,0.49870628208144036
312.0,0.4963688340374479
313.0,0.496369055931247
314.0,0.4963675211360309
315.0,0.5007759173981001
316.0,0.5019447845558407
317.0,0.5019592242159697
318.0,0.501962049396653
319.0,0.48142374855539427
320.0,0.48128629439907256
321.0,0.48127472478032246
322.0,0.4812772650305521
323.0,0.4811443769602261
324.0,0.48114446905978525
325.0,0.4809325117610633
326.0,0.4806166131345884
327.0,0.5031301180882338
328.0,0.5031167316873398
329.0,0.5030866274356489
330.0,0.5030892838029484
331.0,0.5030850194674568
332.0,0.5026160855280306
333.0,0.5026106095075261
334.0,0.5023731401910883
335.0,0.5022965490507834
336.0,0.5022916739943539
337.0,0.5022995670565009
338.0,0.5023032458690316
339.0,0.5027737976748463
340.0,0.5027696347690144
341.0,0.5027687151535412
342.0,0.5027598575184855
343.0,0.5027606414281817
344.0,0.5027610607189795
345.0,0.5026600735359144
346.0,0.5026649801702445
347.0,0.5026090419568078
348.0,0.5026114516633113
349.0,0.5026090512935559
350.0,0.5026133154829103
351.0,0.5050068222033346
352.0,0.469584920469658
353.0,0.46958930872445237
354.0,0.46958255428531764
355.0,0.4695826408260177
356.0,0.4697592962551934
357.0,0.46975910293255096
358.0,0.475049240116832
359.0,0.4750337460072343
360.0,0.4770958227105559
361.0,0.4712615080484397
362.0,0.47113596657428924
363.0,0.477820433691923
364.0,0.47781971657347244
365.0,0.47781219669969627
366.0,0.4778202164332603
367.0,0.47781921931455906
368.0,0.4778208943677159
369.0,0.4778025492147792
370.0,0.4771945465326725
371.0,0.4785507895933601
372.0,0.4785503823830581
373.0,0.4785507256896174
374.0,0.47879122681003966
375.0,0.483078842511401
376.0,0.4832032196164058
377.0,0.483047545022334
378.0,0.483048030296876
379.0,0.4830479108248803
380.0,0.48304446992304717
381.0,0.4830447990877236
382.0,0.4830451968058539
383.0,0.4829647210053758
384.0,0.48279769996026417
385.0,0.48250183975154604
386.0,0.4827574186456926
387.0,0.4827628194266466
388.0,0.4849499794595043
389.0,0.48494985872912505
390.0,0.4830492388387337
391.0,0.48304468099755443
392.0,0.48463547113043914
393.0,0.484627162398478
394.0,0.48462730020753686
395.0,0.4845436468528868
396.0,0.48457567176906324
397.0,0.4844300637194265
398.0,0.4844322088201115
399.0,0.48443033181177486
