N,e_tauit
3.0,0.05059687504115974
4.0,0.023627667713066996
5.0,0.0265740735432303
6.0,0.02107294624195428
7.0,0.021495239679553503
8.0,0.020649239485737242
9.0,0.020575352615207484
10.0,0.017660812694724224
11.0,0.016384256600704607
12.0,0.016400473609785735
13.0,0.015059780701106201
14.0,0.014349912222439715
15.0,0.012134452797827865
16.0,0.011357027666888838
17.0,0.010647684262010291
18.0,0.010399123563530496
19.0,0.009970536324726463
20.0,0.009696356074399323
21.0,0.005837289683003719
22.0,0.005329609369698371
23.0,0.005333142354785367
24.0,0.005347981565896595
25.0,0.005371173800762328
26.0,0.005362109237161026
27.0,0.005134686853564923
28.0,0.005135386014119859
29.0,0.004936059850294391
30.0,0.00486881603969236
31.0,0.004811173213843439
32.0,0.004516339756667354
33.0,0.004500558711815082
34.0,0.0045402350109870725
35.0,0.004411583728391849
36.0,0.004358372927196735
37.0,0.004215232700165773
38.0,0.004188454348490785
39.0,0.004188562777656463
40.0,0.00418804149828887
41.0,0.003130966385241419
42.0,0.003106146071522318
43.0,0.0030820886900616586
44.0,0.003082158026014316
45.0,0.0030810174290865694
46.0,0.003080778292325784
47.0,0.002643412507423566
48.0,0.002612129060049699
49.0,0.0026110914707615164
50.0,0.0026042070126546402
51.0,0.002604207490442058
52.0,0.002604196995910565
53.0,0.0020508071151524167
54.0,0.002047799376955863
55.0,0.0020478008387472962
56.0,0.0020470452107479876
57.0,0.002038321557651822
58.0,0.0025982704372741064
59.0,0.0012704567194149184
60.0,0.0012704611210590793
61.0,0.0012712252109566564
62.0,0.0012693537888135806
63.0,0.0012693529330504467
64.0,0.0012693614102033798
65.0,0.001237979572668525
66.0,0.0012378383601444527
67.0,0.0008123374584994252
68.0,0.0007979818838203259
69.0,0.0007980052724325476
70.0,0.0007979107883469893
71.0,0.0005106572604262816
72.0,0.0005106831027119745
73.0,0.0005107666084886686
74.0,0.0005051887316386436
75.0,0.00048529308156580113
76.0,0.0004891856192768294
77.0,0.0004891911045507922
78.0,0.0005191627421569415
79.0,0.00043159560413569303
80.0,0.0004311529107329749
81.0,0.0004085107730631802
82.0,0.0003343729256131634
83.0,0.000333137311468899
84.0,0.00032310692790418825
85.0,0.0003185064952414041
86.0,0.0003158459310400118
87.0,0.00031043178733313257
88.0,0.00031043282534658066
89.0,0.00030570828134037626
90.0,0.00030567838193852305
91.0,0.0003056866404532761
92.0,0.0003055125922671917
93.0,0.000305442180268988
94.0,0.00030394441879203437
95.0,0.00030271746193989853
96.0,0.00029955529654193463
97.0,0.00029692709368438414
98.0,0.0002969282926362832
99.0,0.0001993522880820715
100.0,0.00019854400948853752
101.0,0.00019727837063983865
102.0,0.00019727867393122767
103.0,0.00019723272558564312
104.0,0.0001971407484048121
105.0,0.00019859622425057752
106.0,0.00019857275760654534
107.0,0.00019858248289025257
108.0,0.00019858247402338182
109.0,0.00019847386693019105
110.0,0.0001964264511923834
111.0,0.0001964263052582615
112.0,0.0001964196418938322
113.0,0.0001964222289167644
114.0,0.00019387806608360062
115.0,0.00019387608646584932
116.0,0.0001938371307891468
117.0,0.00019096420616677927
118.0,0.0001909642133631866
119.0,0.00018985925149550054
120.0,0.0001765313221736456
121.0,0.00017652754665538293
122.0,0.0001527434206644313
123.0,0.000151188012673216
124.0,0.0001511876606803608
125.0,0.00014478315696774701
126.0,0.00014478318036684489
127.0,0.00014478394123152374
128.0,0.0001447710304870678
129.0,0.0001447685088711188
130.0,0.0001447687737606953
131.0,0.00014476351622032547
132.0,0.00014476163688541323
133.0,0.00014476164048672537
134.0,0.00014476126133703259
135.0,0.00014471628762652546
136.0,0.00014471645619326456
137.0,0.00014463605491751833
138.0,0.00014463829283047143
139.0,0.00014463786099245615
140.0,0.0001440825872630113
141.0,0.0001440826160396952
142.0,0.00014408290744559533
143.0,0.00014407796122096225
144.0,0.00014406571592573362
145.0,0.000144062509055246
146.0,0.00014406239858198822
147.0,0.00014404254122153863
148.0,0.00014413470372524762
149.0,0.0001441348494791082
150.0,0.00014413288813550535
151.0,0.00014412804191270382
152.0,0.00014412802958655414
153.0,0.0001441147787035531
154.0,0.00014411200462805635
155.0,0.00014320582480580572
156.0,0.0001431966203208888
157.0,0.00014317355777623096
158.0,0.00013218207186834385
159.0,0.00013218139360910293
160.0,1.3988551418546543e-5
161.0,1.3985426429185751e-5
162.0,1.3985260579836113e-5
163.0,1.3980078872196914e-5
164.0,1.3980728460773726e-5
165.0,1.3970369074631208e-5
166.0,1.4052057739807786e-5
167.0,1.4051772113345319e-5
168.0,1.4079663335574483e-5
169.0,1.4084441248942728e-5
170.0,1.4076429811478987e-5
171.0,1.4078877808516128e-5
172.0,1.408044928959683e-5
173.0,1.4081185844702096e-5
174.0,1.4079557835390804e-5
175.0,1.4058836965322718e-5
176.0,1.4058489704761061e-5
177.0,1.4072838716076449e-5
178.0,1.4072668189779281e-5
179.0,1.4074944117217166e-5
180.0,1.4098639334493683e-5
181.0,1.4030700356717102e-5
182.0,1.4032911209685306e-5
183.0,1.401661790022021e-5
184.0,1.3790283783222502e-5
185.0,1.3789996733634733e-5
186.0,1.37940245896326e-5
187.0,1.3774773107520853e-5
188.0,1.3785759467546778e-5
189.0,1.3788566589426722e-5
190.0,1.378953631244958e-5
191.0,1.3763661441583136e-5
192.0,1.376213827435475e-5
193.0,1.3763301754760082e-5
194.0,1.3767084046117993e-5
195.0,1.3741766952229245e-5
196.0,1.3416158385825912e-5
197.0,1.3416164598820691e-5
198.0,1.3381367337963232e-5
199.0,1.1437359170195324e-5
