N,e_tauit
7.0,0.039154508419188244
8.0,0.03742691679455992
9.0,0.031558366884129205
10.0,0.030713403411511766
11.0,0.03743293815992389
12.0,0.034406788945722036
13.0,0.17589934415991856
14.0,0.4820359775420246
15.0,0.09240099607082812
16.0,0.04185734651817989
17.0,0.044511033139691646
18.0,0.031460556839797434
19.0,0.02081713123482497
20.0,0.05172345364916349
21.0,0.030803042430868077
22.0,0.02068354316133472
23.0,0.05116040178157366
24.0,0.05969296387950625
25.0,0.025757745884267675
26.0,0.02644340501506649
27.0,0.021560832685348752
28.0,0.02191864386353644
29.0,0.024114891812281432
30.0,0.017151697070945073
31.0,0.02036765880974394
32.0,0.020653937077439247
33.0,0.013002385793937593
34.0,0.016182491102319736
35.0,0.018446338050291597
36.0,0.013842173066465069
37.0,0.003959535477755537
38.0,0.008321613914977653
39.0,0.006864347575715734
40.0,0.008915408563816809
41.0,0.0032182800663908264
42.0,0.015618289479772117
43.0,0.012908170526345583
44.0,0.006377861264232347
45.0,0.005159358440073319
46.0,0.005174664852242183
47.0,0.007640545140315614
48.0,0.006970683971565272
49.0,0.007377195092347584
50.0,0.0073806416753442365
51.0,0.007382452392973923
52.0,0.001319753340239351
53.0,0.0013261295232169287
54.0,0.0013306940327999525
55.0,0.0010922010992819985
56.0,0.001125725729139148
57.0,0.00102138101939785
58.0,0.0011742880799058217
59.0,0.0010993251966784985
60.0,0.000781997691284212
61.0,0.0009816649960371023
62.0,0.0009776074251531745
63.0,0.0007401928619826562
64.0,0.001350885014266885
65.0,0.0008319713187896364
66.0,0.0009140069615572225
67.0,0.0009200560982698705
68.0,0.0008917886810101615
69.0,0.0008997261393245661
70.0,0.0008307383881421744
71.0,0.0016012314153190036
72.0,0.00160318234099266
73.0,0.001633381537371256
74.0,0.0016330967379334163
75.0,0.0016342947653048092
76.0,0.00027942127819512955
77.0,0.0003516532492264422
78.0,0.0002552206251997459
79.0,0.0002531707611593868
80.0,0.00021711394533533706
81.0,0.00021252555883102817
82.0,0.00019720307867155082
83.0,0.00019710693745322538
84.0,0.00019709242975028747
85.0,0.0001885985995714041
86.0,0.0001294599984986325
87.0,0.00012926651755183768
88.0,0.00013355467882350116
89.0,0.00013440068789311794
90.0,0.00013386742441227583
91.0,0.000133709078801371
92.0,0.00013085043182228115
93.0,0.00013084628620219917
94.0,0.00012000534852562981
95.0,0.00010422657730663811
96.0,0.00010354145556646577
97.0,0.00010521016897953706
98.0,9.977176720485091e-5
99.0,9.76657789357529e-5
100.0,9.770559137568962e-5
101.0,9.812657035417379e-5
102.0,9.81264229379746e-5
103.0,9.767046661332206e-5
104.0,9.772247208503464e-5
105.0,9.033451138443838e-5
106.0,0.00010098045356574526
107.0,9.051457137194286e-5
108.0,9.005016671884136e-5
109.0,9.944224875631512e-5
110.0,9.957929233170958e-5
111.0,0.00010345208572145707
112.0,0.00010295478275429253
113.0,0.00010136627956086434
114.0,0.0003348074485688051
115.0,0.00032822564011878764
116.0,0.00033781395390031205
117.0,0.0003274397035486189
118.0,0.0003272751971332649
119.0,0.00016592524785497188
120.0,0.00012698022926246885
121.0,0.00013652819615607954
122.0,0.00013656534630202333
123.0,0.00013739874821011938
124.0,0.00011827316763606316
125.0,0.00011879993196292068
126.0,0.00010553308522482452
127.0,0.00015526471795630477
128.0,0.00015527412610335286
129.0,0.00015528656248842387
130.0,0.00015475135620766786
131.0,0.00012732328841467651
132.0,0.00012956597718450069
133.0,0.0001273582429585786
134.0,0.00012360357549749717
135.0,0.00012265764913307043
136.0,0.00012289869648591484
137.0,0.0001229209913191111
138.0,0.00012287372239247005
139.0,0.00012287556662414712
140.0,0.00012299925209795294
141.0,0.00011284747582646937
142.0,7.07439988728435e-5
143.0,6.994732693836442e-5
144.0,7.11451755101353e-5
145.0,7.117134324418076e-5
146.0,7.116455132215102e-5
147.0,7.102325188753538e-5
148.0,7.103966638925429e-5
149.0,7.12646888506731e-5
150.0,7.128603344328618e-5
151.0,7.000213479075145e-5
152.0,6.996913789933592e-5
153.0,7.031860326637369e-5
154.0,6.841566921525754e-5
155.0,6.820920310454036e-5
156.0,6.782731618215102e-5
157.0,6.429447137263766e-5
158.0,6.435608362919869e-5
159.0,6.441183528571137e-5
160.0,6.443132020998324e-5
161.0,6.447343564161178e-5
162.0,6.44998340839099e-5
163.0,6.449473289569786e-5
164.0,6.481002795619538e-5
165.0,6.448709953348198e-5
166.0,1.3720282846417865e-5
167.0,1.371969998553315e-5
168.0,1.3341825034859527e-5
169.0,1.333971588265377e-5
170.0,1.3338200621149691e-5
171.0,1.334038459608797e-5
172.0,1.335118463388028e-5
173.0,1.3352006429556682e-5
174.0,1.3352327316472386e-5
175.0,1.3427167990511884e-5
176.0,1.3815519087050137e-5
177.0,1.3790165705929638e-5
178.0,1.3791225833085972e-5
179.0,1.3772931798065074e-5
180.0,1.3772783024864738e-5
181.0,1.3772596726537457e-5
182.0,1.15300287996852e-5
183.0,1.1536122641630647e-5
