N,e_x
9.0,1.193210852470428
10.0,1.639730850839525
11.0,1.5543537378767784
12.0,0.8128706774033834
13.0,0.9649440524915865
14.0,0.9604502452470447
15.0,0.9441979672840981
16.0,0.9739321381884329
17.0,1.0777817805497167
18.0,1.3991486528171464
19.0,1.2828927960227408
20.0,1.446296371050499
21.0,1.2063037430205614
22.0,0.9471812249612559
23.0,0.972696489595408
24.0,0.9684172588007601
25.0,0.965576515643422
26.0,0.9709755211976653
27.0,0.9787207471607814
28.0,0.9770181914048461
29.0,0.9811840044329717
30.0,1.0158378582118255
31.0,0.981568819043895
32.0,0.9651675843143347
33.0,0.9983961759900748
34.0,0.9983272533922919
35.0,1.0120462802912904
36.0,0.994182270200538
37.0,0.9866885540696971
38.0,0.982162363018792
39.0,0.9826845682131005
40.0,0.9904570855817061
41.0,0.998328131364355
42.0,0.9048394894856646
43.0,0.8907664707587031
44.0,0.7837282900912474
45.0,0.7713564741537378
46.0,0.745924353271712
47.0,0.7424653561693026
48.0,0.7420639018498004
49.0,0.7420546336315553
50.0,0.7375028196660232
51.0,0.7063443179624591
52.0,0.7042748565866466
53.0,0.7045534530860278
54.0,0.6711847873928057
55.0,0.6684648035409778
56.0,0.6395615673793426
57.0,0.6332221066294751
58.0,0.6305890110600391
59.0,0.5656404028302533
60.0,0.5665091182331757
61.0,0.5662931039503891
62.0,0.5780930810793482
63.0,0.5765313579922086
64.0,0.5603275301077217
65.0,0.5686138630465635
66.0,0.5682730905975961
67.0,0.5721504708595763
68.0,0.5657293754677377
69.0,0.5658575976635021
70.0,0.5660696593974702
71.0,0.5678150977048984
72.0,0.5719210804737189
73.0,0.5716831285179684
74.0,0.5745619826887025
75.0,0.5672333438401101
76.0,0.5651478458700065
77.0,0.5660840393719947
78.0,0.5678210516779583
79.0,0.5656837908016413
80.0,0.5584553473777304
81.0,0.5755231351275198
82.0,0.575518005981132
83.0,0.5753946337358401
84.0,0.5751394437798266
85.0,0.5771568213084457
86.0,0.5805653126064458
87.0,0.5802056519793753
88.0,0.5869966442142246
89.0,0.5880426057644177
90.0,0.5892351082205612
91.0,0.589480857471375
92.0,0.594254250691184
93.0,0.5936048454346178
94.0,0.5640139373581162
95.0,0.5640813152404924
96.0,0.5532460823937312
97.0,0.5332647377347502
98.0,0.5328601639638343
99.0,0.5336888618476969
100.0,0.5466882630252584
101.0,0.5463328795118588
102.0,0.5568425836255706
103.0,0.5562139344941532
104.0,0.5537227500507205
105.0,0.552883321923576
106.0,0.5538893745577126
107.0,0.55661552683706
108.0,0.5565401054388818
109.0,0.5571078506166504
110.0,0.5570869385066202
111.0,0.5534613712217543
112.0,0.5331306955412721
113.0,0.5328137540244251
114.0,0.5298993522945323
115.0,0.5294579754884371
116.0,0.5300152507478753
117.0,0.5295406021171932
118.0,0.5294758296084825
119.0,0.5294039188087712
120.0,0.528941225564791
121.0,0.5286109877405819
122.0,0.5284176416172679
123.0,0.5311531625871905
124.0,0.5258045602244319
125.0,0.5482707500762616
126.0,0.5040280822692995
127.0,0.5045820376580965
128.0,0.5045435726297487
129.0,0.5045808990908351
130.0,0.5155412519469775
131.0,0.5134963181030664
132.0,0.5136805930575532
133.0,0.5143311030936503
134.0,0.5142957342404296
135.0,0.5141751143140226
136.0,0.5137702851387277
137.0,0.5138313221772377
138.0,0.5219089347185072
139.0,0.521924984331296
140.0,0.5219307470829607
141.0,0.5218287380203518
142.0,0.5250314844481119
143.0,0.5248847287151024
144.0,0.5250505836577175
145.0,0.5241406734097612
146.0,0.5228449025415297
147.0,0.5225384479531305
148.0,0.44923196212029687
149.0,0.4416095629209732
150.0,0.43358482514534175
151.0,0.43370140127725043
152.0,0.43407217179381624
153.0,0.43406263227078296
154.0,0.43448116765583106
155.0,0.4340919331392985
156.0,0.4345076628177063
157.0,0.444814207280956
158.0,0.4447606598067807
159.0,0.4446787301883012
160.0,0.4432379661948899
161.0,0.4397243494130731
162.0,0.43941010586702556
163.0,0.4386750782595304
164.0,0.4388590810691459
165.0,0.4387604975934718
166.0,0.44449692539415675
167.0,0.4445627466403125
168.0,0.44404868604689546
169.0,0.4461544762758029
170.0,0.44658614552136344
171.0,0.44796186589121556
172.0,0.4479379978400465
173.0,0.44922430688498277
174.0,0.4495019383693422
175.0,0.449436484068434
176.0,0.4494397728597394
177.0,0.4432048966919414
178.0,0.4424531105196989
179.0,0.4471413604238024
180.0,0.4569138680813363
181.0,0.45359965781642925
182.0,0.4491212065619639
183.0,0.4498732745434774
184.0,0.45255777810913095
185.0,0.4525444820780939
186.0,0.45253090232433657
187.0,0.4511519176255464
188.0,0.4511498411202025
189.0,0.45135484069916343
190.0,0.44529560247918987
191.0,0.4378891937765484
192.0,0.43740543196057086
193.0,0.4373888356592803
194.0,0.4374117160445661
195.0,0.4389379757593958
196.0,0.43852960735108665
197.0,0.438528712691094
198.0,0.43851384054445947
199.0,0.43731981219552757
200.0,0.4409507419633957
201.0,0.4409398155177126
202.0,0.43890545219411603
203.0,0.4409984475188807
204.0,0.44061008693214243
205.0,0.44067901795176356
206.0,0.44064040504608126
207.0,0.4406224649154687
208.0,0.44033167396284195
209.0,0.4395185974307662
210.0,0.4393480120201953
211.0,0.4393662712781583
212.0,0.4393531595709771
213.0,0.43943142993996076
214.0,0.4395721724778588
215.0,0.43845860719755736
216.0,0.43854452077929257
217.0,0.4385306715831602
218.0,0.44028950866003325
219.0,0.4387499374112945
220.0,0.4388634110382396
221.0,0.4397676415540006
222.0,0.4397580444895356
223.0,0.43975750310277767
224.0,0.4397244616828824
225.0,0.4397491019177863
226.0,0.4414162435369709
227.0,0.4416503318463982
228.0,0.441640386962698
229.0,0.44161670186057045
230.0,0.44191966667176585
231.0,0.4419296734877311
232.0,0.44192662646791403
233.0,0.4411507080630575
234.0,0.44116457231652656
235.0,0.4481153954267664
236.0,0.444873220753334
237.0,0.44539737362299353
238.0,0.4464864407356375
239.0,0.44762638788712544
240.0,0.4476205091115115
241.0,0.4471373075259261
242.0,0.4447955782111335
243.0,0.4378519336598336
244.0,0.4377152910976176
245.0,0.4376483196432462
246.0,0.4374918355711237
247.0,0.44175104499631396
248.0,0.4418207909298545
249.0,0.44047660168071434
250.0,0.44055215123444624
251.0,0.4405367487666573
252.0,0.44022745132943186
253.0,0.4402001173516336
254.0,0.4377337613915584
255.0,0.43919144420023093
256.0,0.440601981285132
257.0,0.44059970116442054
258.0,0.440591185584167
259.0,0.43418329256900356
260.0,0.44727767791986867
261.0,0.4472890773135962
262.0,0.42911915171644505
263.0,0.42968207337935327
264.0,0.42967755763208254
265.0,0.42816123972334347
266.0,0.4285139629559563
267.0,0.4149952806145384
268.0,0.4208930681764567
269.0,0.42158232502404525
270.0,0.42161509169414535
271.0,0.4216003687031334
272.0,0.4215035878850772
273.0,0.420189979470302
274.0,0.424672060724966
275.0,0.4245275586190988
276.0,0.4245244706566656
277.0,0.4247004689099356
278.0,0.4246976124974373
279.0,0.42470595577977255
280.0,0.4245734200749822
281.0,0.44364173104258714
282.0,0.4437153719074996
283.0,0.4437139557992287
284.0,0.44368680595089255
285.0,0.44367105273147245
286.0,0.46077231785690625
287.0,0.46236503232344817
288.0,0.4614784186084565
289.0,0.46098568694407455
290.0,0.4604623994813834
291.0,0.4614789146162185
292.0,0.46918195414845115
293.0,0.4696226198398006
294.0,0.46933811266469166
295.0,0.47124670321708384
296.0,0.47125401224304325
297.0,0.47114717016624863
298.0,0.4752450313609854
299.0,0.4751582309963575
300.0,0.4726647147458078
301.0,0.47834949344379907
302.0,0.4765788639032645
303.0,0.4684183684488296
304.0,0.4684143353673179
305.0,0.46864479265384346
306.0,0.4665445797113457
307.0,0.46653867149567335
308.0,0.4665698801621122
309.0,0.4380040068011316
310.0,0.4294938487714603
311.0,0.42231133272882143
312.0,0.42189415287658355
313.0,0.42189176895828123
314.0,0.421811787928723
315.0,0.4264274788109751
316.0,0.4273879905895771
317.0,0.42981489093329156
318.0,0.4300938562281017
319.0,0.43001281688401694
320.0,0.4300412477289542
321.0,0.4287062938453198
322.0,0.4934276628946688
323.0,0.4925976119360192
324.0,0.4927530330909596
325.0,0.49277776763857173
326.0,0.4887713691533705
327.0,0.4887956170199379
328.0,0.4881084484666855
329.0,0.48796046531607545
330.0,0.4879689157219247
331.0,0.4885923137591716
332.0,0.4883682549035626
333.0,0.485331004004745
334.0,0.4851037222353905
335.0,0.48512111708827726
336.0,0.4845652141615917
337.0,0.48456523811480345
338.0,0.48502928975261633
339.0,0.4846910374659654
340.0,0.4848910058208453
341.0,0.4848871846187841
342.0,0.4845843879219535
343.0,0.4845557569370479
344.0,0.4845532399921915
345.0,0.48454670736492705
346.0,0.4843009438673116
347.0,0.48410722088548924
348.0,0.4860777594746665
349.0,0.47901459733987284
350.0,0.48071374491521063
351.0,0.4854261224643492
352.0,0.4857927787410477
353.0,0.4853714243739654
354.0,0.48540520270150767
355.0,0.48554678130573864
356.0,0.4845742128879201
357.0,0.48470216245754044
358.0,0.4846983727006269
359.0,0.4846296960364315
360.0,0.4803125846188333
361.0,0.4787269402638959
362.0,0.4787867083798168
363.0,0.4787943830688477
364.0,0.47910905250209335
365.0,0.4790932181419139
366.0,0.47983079449762506
367.0,0.4798191204523538
368.0,0.47001791243604674
369.0,0.4692527926974547
370.0,0.46759423290668145
371.0,0.4708303034084969
372.0,0.47088806819569057
373.0,0.4852021366108973
374.0,0.48517235047186424
375.0,0.4877703513878842
376.0,0.48775012983215305
377.0,0.47189317202594283
378.0,0.4756888453873426
379.0,0.47548917576711236
380.0,0.47549845412257025
381.0,0.47657707351916073
382.0,0.4191452603948398
383.0,0.4191565030666794
384.0,0.41944911075914426
385.0,0.4193833060557402
386.0,0.42044822231786133
387.0,0.4205008622274869
388.0,0.4204993043484865
389.0,0.420549114162848
390.0,0.41892661391908265
391.0,0.41892791401007334
392.0,0.4189288591779391
393.0,0.41767287282768345
394.0,0.41765474891794685
395.0,0.4176561755121981
396.0,0.4172503529942617
397.0,0.4171900657477213
398.0,0.4171903655987304
399.0,0.41716694640409535
