N,e_xt
15.0,0.6727874762770348
16.0,0.48976434847749684
17.0,0.5741448253076502
18.0,0.630970368248962
19.0,0.6167932159971212
20.0,0.6168291064370616
21.0,0.6168432184213137
22.0,0.6298994053922974
23.0,0.456799860283133
24.0,0.7141951820895083
25.0,0.6431903915309399
26.0,0.4182326220846493
27.0,0.38798265210275745
28.0,0.3464244701505329
29.0,0.4050820704296436
30.0,0.3678241162304128
31.0,0.3556418355503635
32.0,0.3515352782096546
33.0,0.35103751462288224
34.0,0.3403618842016041
35.0,0.3403617197136787
36.0,0.338231232787277
37.0,0.3406471021358119
38.0,0.3409439904632036
39.0,0.34133657112478105
40.0,0.34214824115780734
41.0,0.3289232855118062
42.0,0.3337514190788311
43.0,0.2180465272030498
44.0,0.21821360216062183
45.0,0.21322881086076995
46.0,0.21177389669014873
47.0,0.21221144630763009
48.0,0.21168959265688156
49.0,0.21168849420633237
50.0,0.2116480418794894
51.0,0.2107535219854797
52.0,0.20990412197621233
53.0,0.20971354778384357
54.0,0.6151857895414022
55.0,0.5118830112695025
56.0,0.5660961634483037
57.0,0.4873128483591674
58.0,0.46498169389515803
59.0,0.43107981009659524
60.0,0.43188176066976924
61.0,0.430696526265323
62.0,0.4028004968617866
63.0,0.40773478089929527
64.0,0.4032039758654817
65.0,0.38575762971800215
66.0,0.1454425168661177
67.0,0.1437396753300515
68.0,0.1418684032991593
69.0,0.14752877430498057
70.0,0.0953565712659176
71.0,0.09234375228284386
72.0,0.08800166239444794
73.0,0.08783417847404579
74.0,0.08781222423792431
75.0,0.08787068530447267
76.0,0.08520933905890926
77.0,0.08483204182040813
78.0,0.08653245674011271
79.0,0.08702872000860254
80.0,0.086897726083356
81.0,0.0831839195076278
82.0,0.0831840406851293
83.0,0.0829420317234226
84.0,0.08497384063781506
85.0,0.08512338246623526
86.0,0.08524988929247913
87.0,0.08545384618207942
88.0,0.08561761259452672
89.0,0.08418336962829963
90.0,0.08429368096988922
91.0,0.08446230374004388
92.0,0.0843262561117997
93.0,0.08280403996815527
94.0,0.08297046621403464
95.0,0.08510364263244895
96.0,0.08351509778958174
97.0,0.0818157256293813
98.0,0.08163626267177226
