N,e_xt
15.0,0.9398364336829597
16.0,0.7792271369964642
17.0,0.7721350428953911
18.0,0.7759210788120111
19.0,0.6282866429698124
20.0,0.6275065416981426
21.0,0.5880573862621671
22.0,0.45337809184908734
23.0,0.49297471327943343
24.0,0.4510870385287837
25.0,0.4482942976851325
26.0,0.41873228107723626
27.0,0.41895262447587356
28.0,0.40657244112846974
29.0,0.4058003496537231
30.0,0.4055055829181085
31.0,0.4027993375151963
32.0,0.4004908735043386
33.0,0.4003590697607695
34.0,0.3214020709061403
35.0,0.32142010521515135
36.0,0.2951221535405007
37.0,0.2951736123715095
38.0,0.2914271566627163
39.0,0.2933531006093168
40.0,0.291664037327314
41.0,0.2904515870921908
42.0,0.3003718275970003
43.0,0.30025098872572514
44.0,0.29985864080196944
45.0,0.2994480768924081
46.0,0.2993982771983859
47.0,0.2973438407657543
48.0,0.29749340676106206
49.0,0.297334291444137
50.0,0.2685567850097677
51.0,0.24436792622354409
52.0,0.24140993440701097
53.0,0.24137171403039814
54.0,0.24122660054889047
55.0,0.2374904473929156
56.0,0.23748124933375628
57.0,0.23746717513763366
58.0,0.2358180026114948
59.0,0.2387146413041287
60.0,0.237190878314443
61.0,0.2371592164737889
62.0,0.2358423489677593
63.0,0.2359830159248061
64.0,0.23161515501641317
65.0,0.2314749648489721
66.0,0.23158472503166072
67.0,0.22400995669798013
68.0,0.222895101198609
69.0,0.22301701220306686
70.0,0.21896056557986773
71.0,0.21053926420824312
72.0,0.21038968755992118
73.0,0.21035685394903622
74.0,0.21033887384384392
75.0,0.21524866629890574
76.0,0.22486621556538458
77.0,0.22507283244440554
78.0,0.21676118731993843
79.0,0.214648223820137
80.0,0.2147332635032343
81.0,0.21471225141637423
82.0,0.21625504504878967
83.0,0.21623019009946196
84.0,0.21631787852920056
85.0,0.21629067848885578
86.0,0.21633471323635817
87.0,0.21646810147590123
88.0,0.21644154782892433
89.0,0.21445101099214162
90.0,0.2142590685740765
91.0,0.212514654640841
92.0,0.20874999332729782
93.0,0.20873709878737753
94.0,0.20802538776710378
95.0,0.20807685576600113
96.0,0.2051203783237302
97.0,0.20218881431536598
98.0,0.19652173699108025
99.0,0.1989170763411418
100.0,0.19885618114657957
101.0,0.19883655917864482
102.0,0.198635337870806
103.0,0.19864465827346145
104.0,0.1963365568810388
105.0,0.1963671750111603
106.0,0.19627168009199117
107.0,0.19542779674989477
108.0,0.18958275172059377
109.0,0.1894328355983975
110.0,0.1895513989892771
111.0,0.18943946498588818
112.0,0.18947915447866856
113.0,0.1754721570584536
114.0,0.17507339594142618
115.0,0.17380636460711762
116.0,0.17375701413521663
117.0,0.17435001918102375
118.0,0.1743317218999183
119.0,0.1735631280746995
120.0,0.17341772232703867
121.0,0.17361212823220087
122.0,0.17366402395525307
123.0,0.16777253235701595
124.0,0.16761372340919872
125.0,0.1675860298826045
126.0,0.1661447135185933
127.0,0.16614561636601927
128.0,0.16594369295211292
129.0,0.16518718211271274
130.0,0.16515875493240287
131.0,0.16491300466294248
132.0,0.16489945576060003
133.0,0.16489539619624854
134.0,0.1648891025287791
135.0,0.16494592256486965
136.0,0.16495711839432173
137.0,0.16494869314607666
138.0,0.16438635219738118
139.0,0.16428556766339153
140.0,0.1642614119275782
141.0,0.1640995384619661
142.0,0.16337920388981855
143.0,0.16476085689044112
144.0,0.16399326052810667
145.0,0.1640198479034303
146.0,0.16255363732934985
147.0,0.16240446885422027
148.0,0.16396474820457035
149.0,0.1517696479649212
150.0,0.1516559289666988
151.0,0.1518930550921909
152.0,0.15186714933098466
153.0,0.15011229810368248
154.0,0.14962287127951443
155.0,0.14959203524223533
156.0,0.14965848435478438
157.0,0.1496336352004625
158.0,0.1491736330929744
159.0,0.14907925894492008
160.0,0.14690369938213152
161.0,0.14687886333518782
162.0,0.12051555755241392
163.0,0.11711368384837408
164.0,0.1167012522626368
165.0,0.11667574271874112
166.0,0.1078592648228092
167.0,0.10785611943208262
168.0,0.11001465870984312
169.0,0.11001244500865484
170.0,0.10995432306429002
171.0,0.10995075306577264
172.0,0.10995077146630916
173.0,0.10958331245864678
174.0,0.10957762090787437
175.0,0.10955724925691647
176.0,0.1112037833755609
177.0,0.1111997991304102
178.0,0.11025443571936486
179.0,0.11025195531983882
180.0,0.10993874594515232
181.0,0.10990262460235185
182.0,0.1098991021167584
183.0,0.10954288385928793
184.0,0.10772873041917265
185.0,0.1077525057858195
186.0,0.10641155558021939
187.0,0.10640675841573624
188.0,0.10721889554547749
189.0,0.10706279692721068
190.0,0.10686140969585292
191.0,0.10686303209657742
192.0,0.10295104401016611
193.0,0.10294325613344682
194.0,0.1028673309135944
195.0,0.10084712307033482
196.0,0.10085210536463797
197.0,0.09811577891686288
198.0,0.09759381101817328
199.0,0.09290934666242155
200.0,0.09290824003295661
201.0,0.0929055311366106
202.0,0.09291063975056593
203.0,0.09214818757136276
204.0,0.09132019381009712
205.0,0.08472958425310934
206.0,0.08467099302882353
207.0,0.0846827943555832
208.0,0.08468864506675498
209.0,0.08469612150623607
210.0,0.08197760986168531
211.0,0.08150924405590469
212.0,0.08150574804638991
213.0,0.08150480387848467
214.0,0.0814164557022673
215.0,0.08133907856965418
216.0,0.08136320373633858
217.0,0.08136539571268225
218.0,0.0813821613033735
219.0,0.08146716951802987
220.0,0.08088140972612505
221.0,0.08078324765935205
222.0,0.08091144234426169
223.0,0.08195185402648665
224.0,0.08174178999789616
225.0,0.08174526578087896
226.0,0.08174300296550671
227.0,0.08174690699172457
228.0,0.08175085858257196
229.0,0.08162736132455291
230.0,0.0833483408157998
231.0,0.08325650858782628
232.0,0.09264170649129036
233.0,0.0926095940623554
234.0,0.09260610788534403
235.0,0.09262881036875237
236.0,0.09228619684219798
237.0,0.09228828716973948
238.0,0.0920015517811813
239.0,0.09202682183893779
240.0,0.09134250184527233
241.0,0.09134147921408045
242.0,0.09124158838273663
243.0,0.09016654573244429
244.0,0.09016375988418113
245.0,0.09036786009356505
246.0,0.0903654514192295
247.0,0.09034509692791381
248.0,0.09031522890424662
249.0,0.09031316820369706
250.0,0.08965661837448895
251.0,0.08964368155381341
252.0,0.08958357892903121
253.0,0.0917754892112906
254.0,0.09085135331740729
255.0,0.09082853896007163
256.0,0.09080127383371425
257.0,0.09080299611327813
258.0,0.09009290258196186
259.0,0.09009305115293885
260.0,0.08996495083455125
261.0,0.08964929938621272
262.0,0.08934750162866935
263.0,0.0893526374810213
264.0,0.0893014224198044
265.0,0.08933286565191839
266.0,0.08933214652722579
267.0,0.08944107570744302
268.0,0.08943816752758779
269.0,0.08897082699847321
270.0,0.08895492210978038
271.0,0.08816964814899178
272.0,0.08815689130169879
273.0,0.0882631718387659
274.0,0.08732764147906039
275.0,0.08723035717846493
276.0,0.08732900064252105
277.0,0.08727931559300088
278.0,0.08727885502570813
279.0,0.08725764139163604
280.0,0.08729249787919396
281.0,0.08725462926727154
282.0,0.08725601033434069
283.0,0.08725545442595196
284.0,0.08724891891987407
285.0,0.0872486820387292
286.0,0.0871519676761028
287.0,0.08715073603400973
288.0,0.08834785005468478
289.0,0.08834716419357057
290.0,0.08834426498212242
291.0,0.08835537420850931
292.0,0.08835118333368334
293.0,0.08901367582402167
294.0,0.0890114900313602
295.0,0.08899918441505543
296.0,0.08899014929941694
297.0,0.08879887987182677
298.0,0.08883323386082283
299.0,0.08883043961672171
300.0,0.08882994074246953
301.0,0.08882872891036316
302.0,0.08882409013194102
303.0,0.09164685026274454
304.0,0.09164713545706478
305.0,0.09164743194497671
306.0,0.0916469612683307
307.0,0.0916465187007503
308.0,0.09125718797740952
309.0,0.09112775432081485
310.0,0.09119794245174742
311.0,0.09103498307101814
312.0,0.09075596598909981
313.0,0.09075619693783066
314.0,0.0906099829068909
315.0,0.09061432452797433
316.0,0.09061429175525917
317.0,0.09061381100384906
318.0,0.09059977406700524
319.0,0.09029415327998362
320.0,0.09028747440334023
321.0,0.09007037758515136
322.0,0.09005213958309732
323.0,0.09005203193461538
324.0,0.09005229597463141
325.0,0.09003440955343961
326.0,0.09003538949005918
327.0,0.09005846788449068
328.0,0.09011206676724742
329.0,0.09010102629634471
330.0,0.09012846735840022
331.0,0.08981263483636948
332.0,0.08977405319983196
333.0,0.08973461336155045
334.0,0.08973094733088761
335.0,0.08995777056003884
336.0,0.08993008601786126
337.0,0.0899373928039926
338.0,0.08993632734571613
339.0,0.08991985437982879
340.0,0.08991879945844027
341.0,0.08991904039584003
342.0,0.0899187279459317
343.0,0.08991841594728923
344.0,0.0899183540480905
345.0,0.09002642714771603
