N,e_x
15.0,0.97347604256139
16.0,0.9993674897710296
17.0,0.9803383623330266
18.0,0.9901474677611075
19.0,0.9795115607712914
20.0,0.9802982163822115
21.0,0.9870276742226229
22.0,0.9794292483070796
23.0,0.9377357339087934
24.0,0.8671728086995094
25.0,0.8332939565328814
26.0,0.8239814649621078
27.0,0.824275768026217
28.0,0.8086388730553165
29.0,0.8296683938890159
30.0,0.8295828560304589
31.0,0.747464615370643
32.0,0.7467208889838397
33.0,0.7285220104751766
34.0,0.727489870237055
35.0,0.7325944127885519
36.0,0.7229749203876517
37.0,0.7060481358195667
38.0,0.7262572711733034
39.0,0.7262048308172063
40.0,0.7262240209048278
41.0,0.7254776951850733
42.0,0.7345858410939127
43.0,0.7156840542819346
44.0,0.7138361365053177
45.0,0.7165042757293939
46.0,0.7046153850146774
47.0,0.7096913519229378
48.0,0.6806392270864727
49.0,0.6805620955395673
50.0,0.6798942789713409
51.0,0.6806933179069727
52.0,0.8470422298010601
53.0,0.8471102560352384
54.0,0.8608819739943586
55.0,0.8609523951029487
56.0,0.8313002655663272
57.0,0.8377474841470433
58.0,0.8378799705147585
59.0,0.7830574886428565
60.0,0.7454591505934361
61.0,0.7448746543382051
62.0,0.7315806917003124
63.0,0.7316548440283439
64.0,0.7027536615142025
65.0,0.6994403008194403
66.0,0.6994698393344717
67.0,0.6827803419833045
68.0,0.6818560326516605
69.0,0.6748849593542584
70.0,0.6742589031503762
71.0,0.6743073636332652
72.0,0.6748345486461688
73.0,0.6755573683343997
74.0,0.6757768749605353
75.0,0.6759629808429526
76.0,0.6398219343290523
77.0,0.6397223197091741
78.0,0.639623963858106
79.0,0.6401978794821939
80.0,0.6402418686972372
81.0,0.6343762718607489
82.0,0.6531287259579144
83.0,0.6514093748470425
84.0,0.6459163382640691
85.0,0.6260276616734434
86.0,0.6403482162412818
87.0,0.6403395131580184
88.0,0.640363729383409
89.0,0.6401429052992115
90.0,0.640129510274881
91.0,0.6407258441389398
92.0,0.6467571775997114
93.0,0.6367005561655329
94.0,0.628691912343796
95.0,0.6022155830171956
96.0,0.5881738735069075
97.0,0.5853885226057715
98.0,0.7348043225708133
99.0,0.73306578514638
100.0,0.7331083750784768
101.0,0.7174515656768005
102.0,0.716869180078821
103.0,0.7195105703293627
104.0,0.7158036926550996
105.0,0.7126776618514603
106.0,0.7103512785917804
107.0,0.7102721162113175
108.0,0.7102303208635311
109.0,0.7101349414727292
110.0,0.711490028616219
111.0,0.7113959435491853
112.0,0.7113341480216707
113.0,0.7112149901414685
114.0,0.7105606138443092
115.0,0.70974969992552
116.0,0.7097513415309471
117.0,0.7097160580855905
118.0,0.7074619265179236
119.0,0.7074599203216376
120.0,0.7077645141087133
121.0,0.7095349346893669
122.0,0.7094083949395162
123.0,0.7092579387688507
124.0,0.7092796331153766
125.0,0.7103898661488708
126.0,0.7087688615948814
127.0,0.7086589480350374
128.0,0.7084572155076226
129.0,0.7088884747977506
130.0,0.7123345486769854
131.0,0.711079705037537
132.0,0.708253031859846
133.0,0.707930913363569
134.0,0.7075772903863509
135.0,0.6951154985275314
136.0,0.6980018378247561
137.0,0.6976152913815363
138.0,0.6922542647806479
139.0,0.6835462149729571
140.0,0.6835641038407048
141.0,0.6835187167439705
142.0,0.6831548023381911
143.0,0.6829723621593459
144.0,0.6829700830092552
145.0,0.6795530491434411
146.0,0.6794213828504451
147.0,0.677746003385175
148.0,0.6788888472991518
149.0,0.6756595880452605
150.0,0.6749427194320559
151.0,0.6748899435875511
152.0,0.676050954484697
153.0,0.6760015908906619
154.0,0.6757725736241803
155.0,0.6756812628252685
156.0,0.675614827296578
157.0,0.669924452251703
158.0,0.6697689329969209
159.0,0.6718903646890426
160.0,0.6718065138544203
161.0,0.6709170457903398
162.0,0.6699780911356669
163.0,0.6698902156283905
164.0,0.6688661434003591
165.0,0.6678854953503462
166.0,0.6674981751526966
167.0,0.6675120944719216
168.0,0.6698241793602224
169.0,0.6739130355812228
170.0,0.6738571033702943
171.0,0.6738537336819068
172.0,0.6748858489222698
173.0,0.6746585976772836
174.0,0.6746997939483014
175.0,0.6747769743284621
176.0,0.6748416436603321
177.0,0.6746761882110403
178.0,0.6746217429684491
179.0,0.671913812573054
180.0,0.6705202261377229
181.0,0.6749426214875736
182.0,0.6749080470203788
183.0,0.6745425416591375
184.0,0.6699050458200027
185.0,0.6699655565798988
186.0,0.6589172554639647
187.0,0.658910696344158
188.0,0.6587012056867594
189.0,0.6571742221596516
190.0,0.6673827681105218
191.0,0.6674370852095363
192.0,0.6675120058575692
193.0,0.6675708295619549
194.0,0.6675762640564582
195.0,0.6679898747649554
196.0,0.6681615007933228
197.0,0.6693089636944292
198.0,0.6413511016548178
199.0,0.641368254013886
200.0,0.6413882505715179
201.0,0.6414212040944057
202.0,0.6417831273988833
203.0,0.6402896541316736
204.0,0.6393292478756472
205.0,0.6369704182713481
206.0,0.6369130398833844
207.0,0.6367518446235726
208.0,0.6491319148703634
209.0,0.6454953079654784
210.0,0.6454955582967133
211.0,0.6454961737168232
212.0,0.6453604721836411
213.0,0.6453655248328579
214.0,0.6454002414640788
215.0,0.6454239448319007
216.0,0.645375579369522
217.0,0.644315600779698
218.0,0.6443308626808547
219.0,0.6443444801788952
220.0,0.6443472768985578
221.0,0.6440620203557457
222.0,0.6398284657343248
223.0,0.6398143396744257
224.0,0.6390410036523296
225.0,0.6484994926474595
226.0,0.6485145071683336
227.0,0.6441393621812602
228.0,0.6441282183319598
229.0,0.6437854147801685
230.0,0.6438563820720143
231.0,0.6397080834207508
232.0,0.6397003143754887
233.0,0.6289014630683621
234.0,0.6288871233061927
235.0,0.6288767496636781
236.0,0.6288344646341364
237.0,0.6315261665010999
238.0,0.6315181456644018
239.0,0.6288279151452211
240.0,0.6208439365825685
241.0,0.6209721341293393
242.0,0.6229498973938012
243.0,0.626892129242964
244.0,0.6282395025680766
245.0,0.6282286973590705
246.0,0.628075358970197
247.0,0.6280526135793016
248.0,0.6280445386010097
249.0,0.6280237485193599
250.0,0.6257803016585802
251.0,0.6259366558415802
252.0,0.6248958919001508
253.0,0.6248522849693646
254.0,0.6218209537179689
255.0,0.631163898937768
256.0,0.6311497261256227
257.0,0.6428611158944719
258.0,0.6428547754761162
259.0,0.6428439943926003
260.0,0.642813417391422
261.0,0.6428012396213462
262.0,0.6427800383742555
263.0,0.6414561120935757
