N,e_tauit
15.0,0.15280453589156895
16.0,0.1370315863630472
17.0,0.12589628598020863
18.0,0.13250578387551362
19.0,0.12527550439032908
20.0,0.12256075429168088
21.0,0.11758406555334573
22.0,0.09864914806161446
23.0,0.10654992799216259
24.0,0.10646222342755966
25.0,0.10691347105833436
26.0,0.08986635744414716
27.0,0.08683459020505388
28.0,0.08723989504871542
29.0,0.08615262989266365
30.0,0.09329434855813418
31.0,0.09348618449224436
32.0,0.09294224861695086
33.0,0.06712796185624736
34.0,0.05112694563817777
35.0,0.05004033696814768
36.0,0.05009180633842569
37.0,0.04938338451162778
38.0,0.04790075250641439
39.0,0.049456927284363336
40.0,0.048717922025476534
41.0,0.058458242553876084
42.0,0.05841978372116906
43.0,0.05502435030550973
44.0,0.054393242947555785
45.0,0.054314830633622815
46.0,0.05398816385561116
47.0,0.053980747291959896
48.0,0.05380265283228765
49.0,0.053906265711762345
50.0,0.05383099890408434
51.0,0.0541389060820396
52.0,0.0541171190549897
53.0,0.05411167023727336
54.0,0.05438862268847955
55.0,0.057214619026398246
56.0,0.05379293134875383
57.0,0.05312142717746268
58.0,0.04177861916057136
59.0,0.042271288165820216
60.0,0.04187274602787274
61.0,0.04048563451442051
62.0,0.04040902853629523
63.0,0.04017487594243185
64.0,0.04170441882419665
65.0,0.041892137548432885
66.0,0.04189847875101394
67.0,0.04178598520469024
68.0,0.03760883006335277
69.0,0.0381163454447416
70.0,0.03824780859094123
71.0,0.037994430337200506
72.0,0.03713270087569692
73.0,0.03766370686152456
74.0,0.0374154776065821
75.0,0.03748424667384137
76.0,0.03730674098778149
77.0,0.03690496442911902
78.0,0.03702546814884672
79.0,0.03798807923827146
80.0,0.03719185278260935
81.0,0.03644597249176519
82.0,0.035820817776287255
83.0,0.036316209590764266
84.0,0.036255647577117835
85.0,0.035561943285675565
86.0,0.035759075104660275
87.0,0.03443117757718084
88.0,0.03442980178576391
89.0,0.03444704619608763
90.0,0.03328842098497409
91.0,0.0324015391485826
92.0,0.032212674930615685
93.0,0.032257909179281785
94.0,0.03226450501311481
95.0,0.0328327387042526
96.0,0.0327691038269822
97.0,0.031955892731407205
98.0,0.031621417492466324
99.0,0.031207302437663963
100.0,0.03067085381465293
101.0,0.030688993259403868
102.0,0.030412574128817968
103.0,0.03029056489669743
