s,k,tauit,xt,tauitp
0.0,2.97,0.0,1.0,17.014200510383407
0.005025125628140704,2.97,0.09475498964134467,0.8367457716512938,20.82997381797181
0.010050251256281407,2.97,0.21058824770847748,0.6878026346622924,25.37178327569128
0.01507537688442211,2.97,0.3501412074671525,0.5609549669338352,30.12148249240162
0.020100502512562814,2.97,0.5117531198302455,0.4638159360380673,33.952851886241284
0.02512562814070352,2.97,0.6885734043751451,0.3980647245310889,36.15653265488279
0.03015075376884422,2.97,0.8730225565542881,0.3579435380496056,37.10455767744846
0.035175879396984924,2.97,1.0604830262640872,0.3352679822634464,37.44378464346481
0.04020100502512563,2.97,1.248966175491687,0.32344230399653484,37.55121211765714
0.04522613065326633,2.97,1.4377560233850035,0.31816458305158973,37.58029790215214
0.05025125628140704,2.97,1.6266185410642917,0.3168486830174586,37.5849517946139
0.05527638190954774,2.97,1.8154834734991483,0.3179863152714373,37.58277075785519
0.06030150753768844,2.97,2.0043326217642123,0.32070867922390667,37.5791228803578
0.06532663316582915,2.97,2.193163094695643,0.3245203864630923,37.57543491208566
0.07035175879396985,2.97,2.3819754799381543,0.329145033319389,37.57191805340069
0.07537688442211055,2.97,2.5707703807965214,0.33443668485388656,37.56844261756899
0.08040201005025126,2.97,2.7595474788653767,0.340329738549726,37.564792808479616
0.08542713567839195,2.97,2.9483053026087873,0.3468108905775398,37.56072839001638
0.09045226130653267,2.97,3.137041113612573,0.3539040236174457,37.55598183276873
0.09547738693467336,2.97,3.32575070452531,0.3616631362252135,37.5502299790882
0.10050251256281408,2.97,3.5144280186842307,0.37017051575046944,37.54305106145171
0.10552763819095477,2.97,3.703064498456656,0.3795389181765162,37.53385904533276
0.11055276381909548,2.97,3.891648016375126,0.389917575001931,37.5217999720498
0.11557788944723618,2.97,4.080161154277485,0.40150266276665053,37.5055791434206
0.12060301507537688,2.97,4.268578279436553,0.41455386480566814,37.48315775964467
0.12562814070351758,2.97,4.45686055076203,0.42942031905823963,37.45116194780102
0.1306532663316583,2.97,4.64494689405114,0.4465824056850755,37.40397610271402
0.135678391959799,2.97,4.832737977440498,0.4667099407741745,37.331389703081506
0.1407035175879397,2.97,5.020062942642511,0.4907760094505894,37.214095998624884
0.1457286432160804,2.97,5.206612273596351,0.5202295923359097,37.013711865385794
0.1507537688442211,2.97,5.391789467180863,0.5572950868977723,36.64856421926238
0.15577889447236182,2.97,5.574369331365482,0.6054630036924976,35.93587429895549
0.16080402010050251,2.97,5.7517187512781796,0.6701254942754448,34.47193744635957
0.1658291457286432,2.97,5.91832669595929,0.758617864219177,31.516377314298683
0.1708542713567839,2.97,6.064900721499304,0.8771627043529778,26.4982895292007
0.17587939698492464,2.97,6.182845099920131,1.0242414127358315,20.447089083091022
0.18090452261306533,2.97,6.2719386024006685,1.1905554753737038,15.25553367612602
0.18592964824120603,2.97,6.338737649566901,1.3671248539158545,11.56872075974103
0.19095477386934673,2.97,6.390242266964181,1.548797566094376,9.096324748685864
0.19597989949748743,2.97,6.431512776586847,1.7330860361115192,7.437003648357172
0.20100502512562815,2.97,6.4658678386997375,1.9187968740556378,6.306757224172509
0.20603015075376885,2.97,6.495488619428714,2.1053253227822872,5.530780865628999
0.21105527638190955,2.97,6.521869727747613,2.292341318878895,5.0047857372002085
0.21608040201005024,2.97,6.546107459355005,2.4796480739232467,4.670492467146592
0.22110552763819097,2.97,6.56908362132314,2.667114164020039,4.500553595178439
0.22613065326633167,2.97,6.591617448606813,2.8546333220868494,4.497398741719063
0.23115577889447236,2.97,6.614627956984645,3.0420949233895924,4.7023500736482715
0.23618090452261306,2.97,6.639433434407263,3.2293261984276835,5.247118438703742
0.24120603015075376,2.97,6.668607620199367,3.4159185085407833,6.571914989889662
0.24623115577889448,2.97,6.710396086286657,3.5999819324936655,11.32398518110918
0.25125628140703515,2.97,6.826764741166418,3.6547129641201037,21.504618037382524
0.2562814070351759,2.97,6.910306734285083,3.485669668208958,14.376749919757554
0.2613065326633166,2.97,6.9792986064273235,3.309859702303094,13.35983562735572
0.2663316582914573,2.97,7.046107713673423,3.1332026463969433,13.317292819664923
0.271356783919598,2.97,7.113726205848121,2.956853730486852,13.63517574538401
0.27638190954773867,2.97,7.183450600174535,2.7813276260690407,14.138870869811758
0.2814070351758794,2.97,7.2560238236134005,2.6069610292205194,14.762140644707328
0.2864321608040201,2.97,7.331965782195286,2.4340359367032516,15.476646645236032
0.2914572864321608,2.97,7.41170049770241,2.262827538534413,16.270505129705825
0.2964824120603015,2.97,7.495615207425987,2.0936297426315718,17.140199977194634
0.3015075376884422,2.97,7.584093900058052,1.9267745447507352,18.08770201245659
0.3065326633165829,2.97,7.677542682841829,1.7626529046886061,19.11987208941266
0.31155778894472363,2.97,7.776415740838736,1.6017430617067645,20.249172645153656
0.3165829145728643,2.97,7.881246807155075,1.4446530168218135,21.495043568643542
0.32160804020100503,2.97,7.992687096139172,1.2921853791484277,22.884852220367083
0.32663316582914576,2.97,8.111543026321204,1.1454330099371723,24.45233267448672
0.3316582914572864,2.97,8.238790863379087,1.0059075195601304,26.22898311461138
0.33668341708542715,2.97,8.37551621328107,0.8756764643039097,28.221667938488693
0.3417085427135678,2.97,8.522698331257294,0.7574222841296642,30.37308753549509
0.34673366834170855,2.97,8.680770420303896,0.6542128196785097,32.51849593523734
0.35175879396984927,2.97,8.84907965556182,0.5687320971323224,34.403497507194395
0.35678391959798994,2.97,9.02572915706394,0.5021521092069817,35.814198097900515
