t,k,x
0.0,0.99,1.0
0.12562814070351758,0.99,1.2244113390158835
0.25125628140703515,0.99,1.4084836045535305
0.3768844221105528,0.99,1.5648748147356382
0.5025125628140703,0.99,1.7011628386203717
0.628140703517588,0.99,1.8227667030500572
0.7537688442211056,0.99,1.9337621518960488
0.8793969849246231,0.99,2.0371508334146724
1.0050251256281406,0.99,2.1349578390359345
1.1306532663316582,0.99,2.228859816116067
1.256281407035176,0.99,2.3198801848986736
1.3819095477386936,0.99,2.4088108692299555
1.5075376884422111,0.99,2.496076798833123
1.6331658291457287,0.99,2.582099419160196
1.7587939698492463,0.99,2.6671177692882306
1.8844221105527639,0.99,2.75127776248513
2.0100502512562812,0.99,2.8346199748986183
2.135678391959799,0.99,2.9173330419857963
2.2613065326633164,0.99,2.999306794204056
2.386934673366834,0.99,3.080711242406471
2.512562814070352,0.99,3.161398595500492
2.6381909547738696,0.99,3.2414220578189634
2.763819095477387,0.99,3.3208424608635387
2.8894472361809047,0.99,3.3994970830807616
3.0150753768844223,0.99,3.4773864500196936
3.14070351758794,0.99,3.5545729630391705
3.2663316582914574,0.99,3.6309330489814937
3.391959798994975,0.99,3.706348126095849
3.5175879396984926,0.99,3.780874495778727
3.64321608040201,0.99,3.8544855092208596
3.7688442211055277,0.99,3.9269116854825383
3.8944723618090453,0.99,3.9981737958440076
4.0201005025125625,0.99,4.06831614662861
4.1457286432160805,0.99,4.136991012354462
4.271356783919598,0.99,4.20407959421389
4.396984924623116,0.99,4.269633113039197
4.522613065326633,0.99,4.333370419481169
4.648241206030151,0.99,4.3948148269156215
4.773869346733668,0.99,4.454203571622152
4.899497487437186,0.99,4.510589688716366
5.025125628140704,0.99,4.564215800949609
5.150753768844221,0.99,4.613828420384538
5.276381909547739,0.99,4.6594815226236195
5.402010050251256,0.99,4.699757097637024
5.527638190954774,0.99,4.73333892716824
5.653266331658291,0.99,4.759328206821173
5.778894472361809,0.99,4.773829036424446
5.9045226130653266,0.99,4.774245976089409
6.030150753768845,0.99,4.755016521830586
6.155778894472362,0.99,4.703080820225463
6.28140703517588,0.99,4.602629775151424
6.407035175879397,0.99,4.414977346540271
6.532663316582915,0.99,4.054440046506367
6.658291457286432,0.99,3.33180948108276
6.78391959798995,0.99,2.077000380420726
6.909547738693467,0.99,1.0875107327943943
7.035175879396985,0.99,0.8484959227541463
7.160804020100502,0.99,0.8596476316828459
7.28643216080402,0.99,0.9280115066763612
7.4120603015075375,0.99,1.0150286853087198
7.5376884422110555,0.99,1.1124457628311877
7.663316582914573,0.99,1.217936972377814
7.788944723618091,0.99,1.3304803738738848
7.914572864321608,0.99,1.4492715720698848
8.040201005025125,0.99,1.5733101996975114
8.165829145728644,0.99,1.7012713291410255
8.291457286432161,0.99,1.8316677571102737
8.417085427135678,0.99,1.9626618238668543
8.542713567839195,0.99,2.092416428992016
8.668341708542714,0.99,2.21929133710285
8.793969849246231,0.99,2.342024850050533
8.919597989949748,0.99,2.4597274186724363
9.045226130653266,0.99,2.571819490070283
9.170854271356784,0.99,2.678586112628735
9.296482412060302,0.99,2.7804990818636997
9.422110552763819,0.99,2.877789998345315
9.547738693467336,0.99,2.971202818652269
9.673366834170855,0.99,3.0614513668228
9.798994974874372,0.99,3.148900360739657
9.924623115577889,0.99,3.233998454985612
10.050251256281408,0.99,3.3171454518293917
10.175879396984925,0.99,3.398614019851864
10.301507537688442,0.99,3.478584274959782
10.42713567839196,0.99,3.5571326839850017
10.552763819095478,0.99,3.6345057580665787
10.678391959798995,0.99,3.710651273649162
10.804020100502512,0.99,3.785572896489574
10.92964824120603,0.99,3.8593463306202858
11.055276381909549,0.99,3.9318499125673907
11.180904522613066,0.99,4.0030780893086995
11.306532663316583,0.99,4.072976534955383
11.4321608040201,0.99,4.141343927794463
11.557788944723619,0.99,4.208241571164516
11.683417085427136,0.99,4.27324713621139
11.809045226130653,0.99,4.336530250285734
11.93467336683417,0.99,4.397420835424059
12.06030150753769,0.99,4.456169911822062
12.185929648241206,0.99,4.511813256781833
12.311557788944723,0.99,4.564614594283584
12.43718592964824,0.99,4.613246606463151
12.56281407035176,0.99,4.657756186045502
12.688442211055277,0.99,4.69656463044623
12.814070351758794,0.99,4.728490712354028
12.93969849246231,0.99,4.752327552213756
13.06532663316583,0.99,4.764036767928551
13.190954773869347,0.99,4.760501587463235
13.316582914572864,0.99,4.735908069967779
13.442211055276381,0.99,4.676428139088531
13.5678391959799,0.99,4.561556020768511
13.693467336683417,0.99,4.347236320711462
13.819095477386934,0.99,3.9349813245245207
13.944723618090451,0.99,3.112384489983741
14.07035175879397,0.99,1.8184211785495212
14.195979899497488,0.99,1.0036324971730266
14.321608040201005,0.99,0.844730758510476
14.447236180904522,0.99,0.8731415213367211
14.57286432160804,0.99,0.9463030232895248
14.698492462311558,0.99,1.0357030880056994
14.824120603015075,0.99,1.1348472261998463
14.949748743718592,0.99,1.2418833663900444
15.075376884422111,0.99,1.355847514126931
15.201005025125628,0.99,1.4758196106340669
15.326633165829145,0.99,1.6008375821158733
15.452261306532664,0.99,1.7294757062670085
15.577889447236181,0.99,1.860149555792242
15.703517587939698,0.99,1.9910141804047123
15.829145728643216,0.99,2.1202717246091147
15.954773869346734,0.99,2.246337581006604
16.08040201005025,0.99,2.3679906000086954
16.20603015075377,0.99,2.484561702162542
16.331658291457288,0.99,2.595518783685799
16.457286432160803,0.99,2.7011147398365063
16.582914572864322,0.99,2.8019177774010613
16.70854271356784,0.99,2.8984404060631803
16.834170854271356,0.99,2.9911075026070426
16.959798994974875,0.99,3.080616491440927
17.08542713567839,0.99,3.167532163137799
17.21105527638191,0.99,3.252227638519694
17.33668341708543,0.99,3.3349892061263966
17.462311557788944,0.99,3.4160738659897936
17.587939698492463,0.99,3.495720051613421
17.71356783919598,0.99,3.5740898985052962
17.839195979899497,0.99,3.6511434206825837
17.964824120603016,0.99,3.72701891036187
18.09045226130653,0.99,3.801723125341968
18.21608040201005,0.99,3.875193751357032
18.34170854271357,0.99,3.947435785648224
18.467336683417084,0.99,4.018401882240928
18.592964824120603,0.99,4.0879270101838765
18.718592964824122,0.99,4.156069036050956
18.844221105527637,0.99,4.222456492332266
18.969849246231156,0.99,4.2872509580288165
19.09547738693467,0.99,4.3498576695351145
19.22110552763819,0.99,4.410518907118789
19.34673366834171,0.99,4.468384359395729
19.472361809045225,0.99,4.523720570702127
19.597989949748744,0.99,4.57537263641701
19.723618090452263,0.99,4.623491873180341
19.849246231155778,0.99,4.666517252807383
19.974874371859297,0.99,4.704117378460437
20.100502512562816,0.99,4.7347685840642315
20.22613065326633,0.99,4.755535946116324
20.35175879396985,0.99,4.764994822249454
20.477386934673365,0.99,4.7578473988476695
20.603015075376884,0.99,4.724591426325137
20.728643216080403,0.99,4.65631452643136
20.85427135678392,0.99,4.526036050488783
20.979899497487438,0.99,4.280413193595445
21.105527638190956,0.99,3.801085233094785
21.231155778894472,0.99,2.855972639453583
21.35678391959799,0.99,1.5637574749966368
21.482412060301506,0.99,0.9346178369451674
21.608040201005025,0.99,0.8433001580269616
21.733668341708544,0.99,0.886932858006899
21.85929648241206,0.99,0.964725789393033
21.984924623115578,0.99,1.0565162075234449
22.110552763819097,0.99,1.1574875610163926
22.236180904522612,0.99,1.2660923808071733
22.36180904522613,0.99,1.3814417292433177
22.487437185929647,0.99,1.5026038903850776
22.613065326633166,0.99,1.628555505031542
