s,tauit,xt,tauitp
0.0,0.0,2.0,0.0
0.001001001001001001,1.8174110162040815e-5,1.9999999996697797,0.05432106588534892
0.002002002002002002,0.00014422030038382477,1.999999979231661,0.2149452392186443
0.003003003003003003,0.0004828030978502412,1.9999997680440804,0.47839228331467865
0.004004004004004004,0.001135121844604496,1.9999987261573773,0.8412186655733547
0.005005005005005005,0.0021989459918870407,1.999995269904641,1.3000141527890567
0.006006006006006006,0.0037686452659174124,1.9999863198270205,1.8513948636285207
0.007007007007007007,0.0059352111694544185,1.999966779205981,2.491993165438039
0.008008008008008008,0.008786267983884287,1.9999291702499058,3.2184475986032455
0.009009009009009009,0.012406076087077007,1.9998635499747572,4.027398678574672
0.01001001001001001,0.016875536672345127,1.9997577899830694,4.915496816623913
0.011011011011011011,0.022272211882589328,1.9995982344688517,5.879425119826495
0.012012012012012012,0.028670373833554336,1.9993706621780245,6.915933025832434
0.013013013013013013,0.03614108826146705,1.9990613944492273,8.021869548474443
0.014014014014014014,0.04475232579799401,1.9986583430157359,9.194203162200084
0.015015015015015015,0.05456908190141677,1.9981517945221843,10.430018530076705
0.016016016016016016,0.06565348196081094,1.9975347918632649,11.726490804047739
0.01701701701701702,0.07806485337763613,1.9968030703120316,13.080847624368943
0.018018018018018018,0.09185975877295743,1.9959546125010101,14.490332223007309
0.01901901901901902,0.10709199797779262,1.9949889679492063,15.95217848098099
0.02002002002002002,0.1238125940836846,1.9939065080151899,17.463604617969974
0.021021021021021023,0.14206977999376658,1.992707773138609,19.02182000209097
0.022022022022022022,0.1619089969228035,1.9913930061816751,20.624040251140293
0.023023023023023025,0.18337290920446844,1.9899619034864733,22.26750384499924
0.024024024024024024,0.20650143422866835,1.988413552228589,23.9494854037053
0.025025025025025027,0.23133178239276675,1.986746500268512,25.66730346634084
0.026026026026026026,0.2578985036271638,1.9849588886548755,27.41832328996666
0.02702702702702703,0.2862335344447047,1.9830485982110777,29.19995805528524
0.028028028028028028,0.31636624400004076,1.9810133753285868,31.00966540477456
0.02902902902902903,0.3483234790130895,1.9788509272067691,32.844946804572565
0.03003003003003003,0.38212960576334754,1.9765589843814326,34.703344570568525
0.031031031031031032,0.4178065505416293,1.9741353369552206,36.58244137061773
0.03203203203203203,0.45537383904102163,1.9715778531004873,38.479858127784766
0.03303303303303303,0.4948486352609616,1.96888449279395,40.39325499363626
0.03403403403403404,0.5362457793634663,1.966053302378511,42.32032791655045
0.035035035035035036,0.5795778240660083,1.9630823955737375,44.25881268458449
0.036036036036036036,0.6248550758408902,1.9599699940253608,46.206483716871254
0.037037037037037035,0.672085631099794,1.9567144011667639,48.16115058521196
0.03803803803803804,0.7212754117573588,1.9533139723472246,50.120661267669405
0.03903903903903904,0.7724282067001793,1.9497671553501492,52.0829040005083
0.04004004004004004,0.8255457082396315,1.9460724726948846,54.045801503441815
0.04104104104104104,0.8806275476482577,1.942228489542164,56.00731508948454
0.042042042042042045,0.9376713364008613,1.9382338505690313,57.96544590807787
0.043043043043043044,0.9966727022753148,1.9340872593348981,59.91822961233154
0.044044044044044044,1.0576253257667905,1.9297874581583998,61.86374144468641
0.04504504504504504,1.1205209807041236,1.9253332560907248,63.800094763549616
0.04604604604604605,1.1853495700393522,1.9207235043805482,65.72543892498037
0.04704704704704705,1.2520991634235212,1.9159570930082173,67.63796212231227
0.04804804804804805,1.3207560359283927,1.9110329556336985,69.53589003301119
0.04904904904904905,1.391304705326327,1.9059500605462736,71.41748581376301
0.05005005005005005,1.4637279696272607,1.9007074078721626,73.2810503353679
0.05105105105105105,1.538006944663665,1.895304025841651,75.12492203362068
0.05205205205205205,1.6141211018935877,1.8897389665237958,76.94747693918352
0.05305305305305305,1.6920483061359974,1.8840113017969522,78.74712864286143
0.05405405405405406,1.771764852995103,1.8781201190915442,80.52232826969716
0.055055055055055056,1.8532455063806677,1.872064517030201,82.27156445323193
0.056056056056056056,1.9364635360308295,1.8658436009094939,83.99336328746654
0.057057057057057055,2.021390755018073,1.859456478001558,85.68628829744915
0.05805805805805806,2.1079975572234404,1.852902252641523,87.34894039978853
0.05905905905905906,2.1962529547736307,1.8461800210830006,88.97995785674779
0.06006006006006006,2.2861246153842463,1.8392888660956224,90.57801622520229
0.06106106106106106,2.3775788996387157,1.8322278512685062,92.14182829992998
0.062062062062062065,2.4705808982305686,1.824996014980274,93.67014405031685
0.06306306306306306,2.5650944691367576,1.817592363990334,95.16175053433648
0.06406406406406406,2.6610822747129883,1.810015866593219,96.61547182665784
0.06506506506506507,2.758505818693742,1.8022654453124112,98.0301689377636
0.06606606606606606,2.8573254830987467,1.7943399690653457,99.40473971050922
0.06706706706706707,2.9575005651319946,1.7862382447183744,100.73811870871691
0.06806806806806807,3.058989313923574,1.7779590080167267,102.02927709269332
0.06906906906906907,3.1617489670133803,1.7695009136775945,103.27722250753163
0.07007007007007007,3.2657357865775816,1.760862524669369,104.48099862579552
0.07107107107107107,3.37090509559526,1.752042302493779,105.63968614092774
0.07207207207207207,3.477211313381142,1.7430385861671716,106.7523985158585
0.07307307307307308,3.5846079933368693,1.7338495851671403,107.81829014525044
0.07407407407407407,3.6930478574764662,1.7244733720696699,108.83654634468604
0.07507507507507508,3.802482829350593,1.714907851362689,109.80638924256975
0.07607607607607608,3.9128640724174906,1.7051507464725626,110.72707526172955
0.07707707707707707,4.0241420241227726,1.695199577128106,111.5978949295137
0.07807807807807808,4.13626642536309,1.6850516383526202,112.41817283773752
0.07907907907907907,4.249186361197398,1.674703977747641,113.18726728787956
0.08008008008008008,4.362850287750531,1.6641533438464329,113.90456565485871
0.08108108108108109,4.477206064693472,1.6533961884497481,114.56949274072836
0.08208208208208208,4.592200994977673,1.6424286118436724,115.18149987899633
0.08308308308308308,4.70778184011325,1.6312463187538961,115.74006963459124
0.08408408408408409,4.823894865561026,1.6198445722980002,116.24471218759112
0.08508508508508508,4.940485853360541,1.6082181414192125,116.69496483119595
0.08608608608608609,5.057500141743447,1.5963612477718225,117.09038949060657
0.08708708708708708,5.174882634695136,1.584267448355888,117.43057166644375
0.08808808808808809,5.292577837642958,1.5719296286155988,117.71511678779059
0.0890890890890891,5.410529866608719,1.5593398560080343,117.94364608067943
0.09009009009009009,5.528682466461647,1.546489277377553,118.11579327374919
0.09109109109109109,5.646979020453022,1.5333680018736837,118.23120261484912
0.0920920920920921,5.765362549386572,1.5199648974223239,118.28951137336644
0.09309309309309309,5.883775718732546,1.5062674798922284,118.29036156261472
0.0940940940940941,6.002160824105216,1.4922616622563112,118.23337185073461
0.09509509509509509,6.120459766719703,1.47793149005156,118.11813319352908
0.0960960960960961,6.238614019908353,1.463258857630963,117.94419175828833
0.0970970970970971,6.3565645617693205,1.4482230322687293,117.7110250837599
0.0980980980980981,6.474251806205451,1.4328003272553709,117.41802024511995
0.0990990990990991,6.591615510814802,1.416963448775145,117.06443707721117
0.1001001001001001,6.7085945745213635,1.4006808249254497,116.64933857268343
0.1011011011011011,6.825126865747908,1.383915578314909,116.17156043395151
0.1021021021021021,6.941148918488752,1.366624583575984,115.62958748521461
0.1031031031031031,7.056595530768886,1.3487569370216204,115.021449845891
0.1041041041041041,7.171399207814435,1.33025195424418,114.34448297705707
0.10510510510510511,7.285489356352003,1.3110368377242718,113.59514159354883
