s,mu,tauit,xt,tauitp
0.0,9.5,0.0,2.0,0.0
0.005025125628140704,9.5,0.0024334603006824444,1.9999942136559616,1.4319516492605338
0.010050251256281407,9.5,0.018637687384136806,1.9997068051123104,5.399292014462724
0.01507537688442211,9.5,0.06013736426824148,1.997798243331887,11.42188690373301
0.020100502512562814,9.5,0.13614324251057205,1.992846972125683,19.06514260327965
0.02512562814070352,9.5,0.2537924990446858,1.9845796960137536,27.92994859485046
0.03015075376884422,9.5,0.4182454386014209,1.9728576804968716,37.63121968450237
0.035175879396984924,9.5,0.6328013502957109,1.957383931313601,47.81443690707392
0.04020100502512563,9.5,0.8990546916535958,1.9378891128820026,58.1551050984828
0.04522613065326633,9.5,1.2170412790125122,1.9141576575280363,68.35732659999779
0.05025125628140704,9.5,1.5853815583342905,1.88601422936986,78.1536724965275
0.05527638190954774,9.5,2.001423518729845,1.8533080564180804,87.30512009082909
0.06030150753768844,9.5,2.4613851763746353,1.815895647168483,95.6009381104178
0.06532663316582915,9.5,2.9604962831842383,1.7736197230135762,102.85848407119246
0.07035175879396985,9.5,3.4931386415818566,1.7262808503056082,108.92283496100585
0.07537688442211055,9.5,4.052983841580293,1.6735954741935237,113.66608794864241
0.08040201005025126,9.5,4.633125903156512,1.615127802996438,116.98594147578811
0.08542713567839195,9.5,5.2262031072126325,1.5501692526685655,118.80253455905891
0.09045226130653267,9.5,5.824494180000636,1.4775025132142297,119.0505913010256
0.09547738693467336,9.5,6.419944304105076,1.3948811803082004,117.6561607916125
0.10050251256281408,9.5,7.003954685470042,1.2976803154793395,114.45004217189035
0.10552763819095477,9.5,7.566079550458334,1.1744912237117027,108.70148343002688
0.11055276381909548,9.5,8.084375671957593,0.9877257023505935,94.78311206984694
0.11557788944723618,9.5,8.451140500962463,0.629402106587387,45.30780559085503
0.12060301507537688,9.5,8.588507996767513,0.16530566013014752,16.093111111077032
0.12562814070351758,9.5,8.646799377317922,-0.27502318406327164,8.548465499740349
0.1306532663316583,9.5,8.682050692607296,-0.6719273469615397,5.879371737379479
0.135678391959799,9.5,8.70837869038299,-1.0202961268296045,4.757065268232397
0.1407035175879397,9.5,8.731014307885044,-1.3175471110619366,4.340465448421777
0.1457286432160804,9.5,8.7527937894393,-1.5626279169079909,4.405453206903674
0.1507537688442211,9.5,8.776206356375104,-1.7558452575207537,5.0319532679509695
0.15577889447236182,9.5,8.805257029909365,-1.898333784867947,6.840660568591219
0.16080402010050251,9.5,8.850005495672821,-1.9871083199029909,11.316865537373955
0.1658291457286432,9.5,8.90461684288408,-2.0124514032151892,8.697674293108314
0.1708542713567839,9.5,8.934636221036028,-2.0147720913943408,3.532113054641514
0.17587939698492464,9.5,8.943788717245745,-2.014875822538886,0.524718418977851
0.18090452261306533,9.5,8.944472730579372,-2.0148760839129958,0.22699651655301642
0.18592964824120603,9.5,8.950578676545073,-2.014838928669474,2.6133526336741224
0.19095477386934673,9.5,8.974482499616427,-2.0141776901439425,7.235631944928068
0.19597989949748743,9.5,9.026312714818786,-2.0113558038259796,13.65967377573049
0.20100502512562815,9.5,9.114136516266255,-2.005450899684208,21.499365262420387
0.20603015075376885,9.5,9.244139805404968,-1.9963703699906215,30.386509727962352
0.21105527638190955,9.5,9.42069583897063,-1.9839042367434783,39.97153178019528
0.21608040201005024,9.5,9.646493808023553,-1.967767752842658,49.93356899257126
0.22110552763819097,9.5,9.92267772320274,-1.9477225525933628,59.97822777088959
0.22613065326633167,9.5,10.248977201705292,-1.92357822046703,69.83695008989926
0.23115577889447236,9.5,10.623837111257085,-1.8951791236446431,79.266960713965
0.23618090452261306,9.5,11.044547018861124,-1.8623905538573622,88.05120776253854
0.24120603015075376,9.5,11.50737019766844,-1.8250833047144195,95.99826165270102
0.24623115577889448,9.5,12.007671994245886,-1.7831148399635453,102.94213523654156
0.25125628140703515,9.5,12.540046974524108,-1.7363040142189974,108.74196212594521
0.2562814070351759,9.5,13.098443739142269,-1.6843939250445843,113.28139934597729
0.2613065326633166,9.5,13.676285567570885,-1.626992507810053,116.46742480640259
0.2663316582914573,9.5,14.266582004174731,-1.5634689952361085,118.22776202259257
