t,mu,x
0.0,0.5,2.0
0.10050251256281408,0.5,1.990416378903704
0.20100502512562815,0.5,1.9635493096971361
0.3015075376884422,0.5,1.9214702695005978
0.4020100502512563,0.5,1.8667452106057076
0.5025125628140703,0.5,1.800728983386457
0.6030150753768844,0.5,1.7245397224052643
0.7035175879396985,0.5,1.6389491117785586
0.8040201005025126,0.5,1.5443953980548066
0.9045226130653267,0.5,1.4410539547857155
1.0050251256281406,0.5,1.328983770662817
1.1055276381909547,0.5,1.2082463369422083
1.2060301507537687,0.5,1.0777490892551975
1.306532663316583,0.5,0.9378309118956734
1.407035175879397,0.5,0.7870577496124573
1.5075376884422111,0.5,0.6257048892944111
1.6080402010050252,0.5,0.45301890109882204
1.7085427135678393,0.5,0.26856720357604613
1.8090452261306533,0.5,0.07270593638941021
1.9095477386934674,0.5,-0.1340728147567213
2.0100502512562812,0.5,-0.34983553330916595
2.1105527638190953,0.5,-0.5715582677957124
2.2110552763819094,0.5,-0.7949480554149896
2.3115577889447234,0.5,-1.0144160194555416
2.4120603015075375,0.5,-1.2231134034955073
2.512562814070352,0.5,-1.414864868347178
2.613065326633166,0.5,-1.5831571923139394
2.71356783919598,0.5,-1.7237700144133927
2.814070351758794,0.5,-1.835235210233046
2.9145728643216082,0.5,-1.915818148115581
3.0150753768844223,0.5,-1.9691045962616769
3.1155778894472363,0.5,-1.9964179935966524
3.2160804020100504,0.5,-2.0013732714889265
3.3165829145728645,0.5,-1.9868277882046608
3.4170854271356785,0.5,-1.955798130262082
3.5175879396984926,0.5,-1.9102258481351388
3.6180904522613067,0.5,-1.8522929392776508
3.7185929648241207,0.5,-1.7833804665495947
3.819095477386935,0.5,-1.7045374304401206
3.919597989949749,0.5,-1.6164575730509259
4.0201005025125625,0.5,-1.5195499929587764
4.1206030150753765,0.5,-1.4139902063991878
4.221105527638191,0.5,-1.29977312673211
4.321608040201005,0.5,-1.1762554075029572
4.422110552763819,0.5,-1.043322542535386
4.522613065326633,0.5,-0.9006105405888094
4.623115577889447,0.5,-0.7473079065412443
4.723618090452261,0.5,-0.5831992827102425
4.824120603015075,0.5,-0.40736438468666836
4.924623115577889,0.5,-0.21971728292746268
5.025125628140704,0.5,-0.02069878695131757
5.125628140703518,0.5,0.1886497366166464
5.226130653266332,0.5,0.4063220037895599
5.326633165829146,0.5,0.6290333620903136
5.42713567839196,0.5,0.8520600090083966
5.527638190954774,0.5,1.0695520598781336
5.628140703517588,0.5,1.2745008695102402
5.728643216080402,0.5,1.4608248342741883
5.8291457286432165,0.5,1.6221142055053945
5.9296482412060305,0.5,1.7560641934195123
6.030150753768845,0.5,1.8592736887746018
6.130653266331659,0.5,1.9327458447138135
6.231155778894473,0.5,1.9790078892570229
6.331658291457287,0.5,2.0001879225354724
6.432160804020101,0.5,1.999842840911084
6.532663316582915,0.5,1.980648921817193
6.633165829145729,0.5,1.945526519632237
6.733668341708543,0.5,1.8966143548840217
6.834170854271357,0.5,1.835805938811153
6.934673366834171,0.5,1.7643279099676006
7.035175879396985,0.5,1.6831282852535605
7.135678391959799,0.5,1.5927984680497957
7.236180904522613,0.5,1.4936136913582698
7.336683417085427,0.5,1.3856529047002877
7.437185929648241,0.5,1.2689921087067129
7.5376884422110555,0.5,1.1435846059121735
7.63819095477387,0.5,1.007695456115814
7.738693467336684,0.5,0.8629180476872925
7.839195979899498,0.5,0.706316959337104
7.939698492462312,0.5,0.5391540468178873
8.040201005025125,0.5,0.3603361739799755
8.140703517587939,0.5,0.1698059688114845
8.241206030150753,0.5,-0.03180695321340409
8.341708542713567,0.5,-0.24351511993959307
8.442211055276381,0.5,-0.46287298846257346
8.542713567839195,0.5,-0.6861771077361845
8.64321608040201,0.5,-0.908433670520683
8.743718592964823,0.5,-1.1234027891060578
8.844221105527637,0.5,-1.3242537919341626
8.944723618090451,0.5,-1.5044810112019533
9.045226130653266,0.5,-1.6594822937321745
9.14572864321608,0.5,-1.7851753290336463
9.246231155778894,0.5,-1.8806683477291652
9.346733668341708,0.5,-1.947133555011612
9.447236180904522,0.5,-1.9867626194289107
9.547738693467336,0.5,-2.0021518543609376
9.64824120603015,0.5,-1.9966741461917799
9.748743718592964,0.5,-1.9732835128247395
9.849246231155778,0.5,-1.9346425193079402
9.949748743718592,0.5,-1.882611396756056
10.050251256281408,0.5,-1.8188910471728594
10.150753768844222,0.5,-1.744774575816722
10.251256281407036,0.5,-1.6611205202964634
10.35175879396985,0.5,-1.5684788758553425
10.452261306532664,0.5,-1.467134291368911
10.552763819095478,0.5,-1.357107687705694
10.653266331658292,0.5,-1.2378590050156053
10.753768844221106,0.5,-1.1097150921762498
10.85427135678392,0.5,-0.9719570129369334
10.954773869346734,0.5,-0.8238526750700403
11.055276381909549,0.5,-0.6652171685726758
11.155778894472363,0.5,-0.4948795676658064
11.256281407035177,0.5,-0.3130027879230762
11.35678391959799,0.5,-0.11962913360195387
11.457286432160805,0.5,0.08487600731818862
11.557788944723619,0.5,0.29886166277202597
11.658291457286433,0.5,0.5196203323889211
11.758793969849247,0.5,0.743190720454134
11.859296482412061,0.5,0.9641881850270392
11.959798994974875,0.5,1.17629757407116
12.06030150753769,0.5,1.3724122342676461
12.160804020100503,0.5,1.5465720681615012
12.261306532663317,0.5,1.6944705987170836
12.361809045226131,0.5,1.81244677634685
12.462311557788945,0.5,1.9006869009791207
12.56281407035176,0.5,1.9595742974942487
12.663316582914574,0.5,1.9928962797105454
12.763819095477388,0.5,2.0026301386371554
12.864321608040202,0.5,1.9922818883822409
12.964824120603016,0.5,1.9648082966439808
13.06532663316583,0.5,1.9222452563340164
13.165829145728644,0.5,1.867129270690342
13.266331658291458,0.5,1.8007479734531835
13.366834170854272,0.5,1.724226034591651
13.467336683417086,0.5,1.6383118653866606
13.5678391959799,0.5,1.543442952040328
13.668341708542714,0.5,1.4397665432691042
13.768844221105528,0.5,1.3272696374192434
13.869346733668342,0.5,1.206126585181012
13.969849246231156,0.5,1.0757380593371642
14.07035175879397,0.5,0.9350793369813708
14.170854271356784,0.5,0.7844591525949615
14.271356783919598,0.5,0.6224350857337387
14.371859296482413,0.5,0.44937637735073127
14.472361809045227,0.5,0.26461469771167034
14.57286432160804,0.5,0.06845267095571658
14.673366834170855,0.5,-0.1386088831607922
14.773869346733669,0.5,-0.3546351990134627
14.874371859296483,0.5,-0.5765509502112456
14.974874371859297,0.5,-0.8000318696676191
15.075376884422111,0.5,-1.0194446550439333
15.175879396984925,0.5,-1.2279195566405288
15.27638190954774,0.5,-1.4192309492798256
15.376884422110553,0.5,-1.586905320640831
15.477386934673367,0.5,-1.7273055839208902
15.577889447236181,0.5,-1.8380360866908485
15.678391959798995,0.5,-1.917937155263545
15.77889447236181,0.5,-1.9705934639854876
15.879396984924623,0.5,-1.9972923876964361
15.979899497487438,0.5,-2.0018060098323853
16.08040201005025,0.5,-1.986914461394267
16.180904522613066,0.5,-1.9553490344632705
16.281407035175878,0.5,-1.9093316345632951
16.381909547738694,0.5,-1.851159013370654
16.482412060301506,0.5,-1.7820441033514685
16.582914572864322,0.5,-1.7030141216206331
16.683417085427134,0.5,-1.6147518718150107
16.78391959798995,0.5,-1.5176392250209103
16.884422110552762,0.5,-1.4118323076894586
16.984924623115578,0.5,-1.2973788940576658
17.08542713567839,0.5,-1.174013037598255
17.185929648241206,0.5,-1.0404633622276982
17.28643216080402,0.5,-0.8980342974149967
17.386934673366834,0.5,-0.7440064258478042
17.487437185929647,0.5,-0.5796641888639568
17.587939698492463,0.5,-0.40361833690064525
17.688442211055275,0.5,-0.2157166507559621
17.78894472361809,0.5,-0.0165733808790178
17.889447236180903,0.5,0.1929585775416991
17.98994974874372,0.5,0.41076061659737306
18.09045226130653,0.5,0.6335819605727591
18.190954773869347,0.5,0.8565907120511631
18.29145728643216,0.5,1.0738463190118648
18.391959798994975,0.5,1.2787158368346623
18.492462311557787,0.5,1.4645336100434454
18.592964824120603,0.5,1.6256280806759966
18.693467336683415,0.5,1.7584795333027754
18.79396984924623,0.5,1.8612954239238055
18.894472361809044,0.5,1.9340936541313554
18.99497487437186,0.5,1.9797312494455532
19.09547738693467,0.5,2.000572637197094
19.195979899497488,0.5,1.9997014973327882
19.2964824120603,0.5,1.9802039444535866
19.396984924623116,0.5,1.9447292958028592
19.497487437185928,0.5,1.8956915010934328
19.597989949748744,0.5,1.8346861938590986
19.698492462311556,0.5,1.7630133621063917
19.798994974874372,0.5,1.6816099832302243
19.899497487437184,0.5,1.5910815043683588
20.0,0.5,1.4916409474842076
0.0,0.5204081632653061,2.0
0.10050251256281408,0.5204081632653061,1.9903699008932845
0.20100502512562815,0.5204081632653061,1.963498708354949
0.3015075376884422,0.5204081632653061,1.9221589691303018
0.4020100502512563,0.5204081632653061,1.8679320737442766
0.5025125628140703,0.5204081632653061,1.8026045269389386
0.6030150753768844,0.5204081632653061,1.7273290354458317
0.7035175879396985,0.5204081632653061,1.642876507813683
0.8040201005025126,0.5204081632653061,1.5497174124242743
0.9045226130653267,0.5204081632653061,1.4480718978854408
1.0050251256281406,0.5204081632653061,1.3379342126577725
1.1055276381909547,0.5204081632653061,1.2188373841699558
1.2060301507537687,0.5204081632653061,1.0903198211958307
1.306532663316583,0.5204081632653061,0.9528479453523054
1.407035175879397,0.5204081632653061,0.8040511459504404
1.5075376884422111,0.5204081632653061,0.645190834437717
1.6080402010050252,0.5204081632653061,0.4745713399171522
1.7085427135678393,0.5204081632653061,0.29182980101605904
1.8090452261306533,0.5204081632653061,0.0970080667118364
1.9095477386934674,0.5204081632653061,-0.10882589083291425
2.0100502512562812,0.5204081632653061,-0.32435544250197157
2.1105527638190953,0.5204081632653061,-0.5468300449304823
2.2110552763819094,0.5204081632653061,-0.771901686710564
2.3115577889447234,0.5204081632653061,-0.9937724534069206
2.4120603015075375,0.5204081632653061,-1.20574007530889
2.512562814070352,0.5204081632653061,-1.4006934858553766
2.613065326633166,0.5204081632653061,-1.5724040641234438
2.71356783919598,0.5204081632653061,-1.716468167920007
2.814070351758794,0.5204081632653061,-1.8302894282886417
2.9145728643216082,0.5204081632653061,-1.9129016908830123
3.0150753768844223,0.5204081632653061,-1.9674393418870848
3.1155778894472363,0.5204081632653061,-1.9961768017814527
3.2160804020100504,0.5204081632653061,-2.001785639657287
3.3165829145728645,0.5204081632653061,-1.9880276576543776
3.4170854271356785,0.5204081632653061,-1.9574278988137108
3.5175879396984926,0.5204081632653061,-1.9130024779275412
3.6180904522613067,0.5204081632653061,-1.8561296910287628
3.7185929648241207,0.5204081632653061,-1.7884339357941452
3.819095477386935,0.5204081632653061,-1.7110032182030392
3.919597989949749,0.5204081632653061,-1.624535857624147
4.0201005025125625,0.5204081632653061,-1.5294231127640932
4.1206030150753765,0.5204081632653061,-1.425767142682049
4.221105527638191,0.5204081632653061,-1.3133227335909088
4.321608040201005,0.5204081632653061,-1.1922489985834714
4.422110552763819,0.5204081632653061,-1.0622933112503754
4.522613065326633,0.5204081632653061,-0.9215826850899512
4.623115577889447,0.5204081632653061,-0.7714849616102023
4.723618090452261,0.5204081632653061,-0.609489960674312
4.824120603015075,0.5204081632653061,-0.4360719520863609
4.924623115577889,0.5204081632653061,-0.25086979921151936
5.025125628140704,0.5204081632653061,-0.05350764201428603
5.125628140703518,0.5204081632653061,0.15469920397879403
5.226130653266332,0.5204081632653061,0.37210544261404027
5.326633165829146,0.5204081632653061,0.5956462782359124
5.42713567839196,0.5204081632653061,0.8206569112080457
5.527638190954774,0.5204081632653061,1.0410266258236047
5.628140703517588,0.5204081632653061,1.250079923287389
5.728643216080402,0.5204081632653061,1.4404017132561746
5.8291457286432165,0.5204081632653061,1.6064163348884486
