N,e_xt
27.0,0.5889276518568516
28.0,0.7355796834484314
29.0,0.7483231793142159
30.0,0.6613585919799677
31.0,0.5840812282076281
32.0,0.563627750945268
33.0,0.5535606700197319
34.0,0.5495470630770737
35.0,0.5523173316708887
36.0,0.5525044658035535
37.0,0.5509986655091151
38.0,0.5501573974241732
39.0,0.3742551089363287
40.0,0.36958861315567937
41.0,0.3608573822221614
42.0,0.34514842612778174
43.0,0.3365634317268179
44.0,0.3218392402372081
45.0,0.31511296367483926
46.0,0.3259800739198269
47.0,0.34766433402052466
48.0,0.3422236441747901
49.0,0.33567841079055355
50.0,0.301665923052969
51.0,0.30503923492553087
52.0,0.3115641217669065
53.0,0.2907123319095603
54.0,0.28887420672745495
55.0,0.16570592886200863
56.0,0.13315803811719026
57.0,0.1258118983538879
58.0,0.11769013311459078
59.0,0.11797430527206261
60.0,0.11719097099177943
61.0,0.13086860540993425
62.0,0.1309150723064304
63.0,0.11744140713700305
64.0,0.11235317650438682
65.0,0.11191220724423391
66.0,0.11166789647019965
67.0,0.11135656003272179
68.0,0.11135601668450264
69.0,0.11142369124737657
70.0,0.11014173545542695
71.0,0.11019034859655145
72.0,0.10939913828024121
73.0,0.10938174690043348
74.0,0.10932247917000436
75.0,0.10804034917115692
76.0,0.10812384198708899
77.0,0.10824596492909387
78.0,0.10229886224202722
79.0,0.10241004367212579
80.0,0.10067563840344532
81.0,0.08719057363829133
82.0,0.08720948387182693
83.0,0.08726586928244941
84.0,0.0859346719667266
85.0,0.0859910122939666
86.0,0.08639781576134638
87.0,0.08551387839048345
88.0,0.08555364609490662
89.0,0.08406494353683407
90.0,0.08373751066415178
91.0,0.08342213309688207
92.0,0.08342068377996975
93.0,0.0831885611803838
94.0,0.0831506223846829
95.0,0.08303155542172463
96.0,0.08302412719375081
97.0,0.0830085957870254
98.0,0.10068817385146722
99.0,0.10049857297340434
100.0,0.1005042158918449
101.0,0.10050194456860886
102.0,0.10055957045499779
103.0,0.09983063996141028
104.0,0.09983547818939112
105.0,0.09983215565091591
106.0,0.09905594177784673
107.0,0.09452672210143391
108.0,0.09437393327861444
109.0,0.08965885214932409
110.0,0.08965507522714002
111.0,0.0896466785559971
112.0,0.08966984249278477
113.0,0.0893682310811125
114.0,0.08634628227492828
115.0,0.08569195699817651
116.0,0.08566115332097769
117.0,0.08615305453304764
118.0,0.08610622879216077
119.0,0.08598114442535049
120.0,0.085981727969978
121.0,0.08604604402241037
122.0,0.08604618698083201
123.0,0.06731804685489197
124.0,0.0673661069868299
125.0,0.06720432818776487
126.0,0.06707973922682975
127.0,0.07333289756422852
128.0,0.07330818988686076
129.0,0.07330831687083124
130.0,0.07075334387294602
131.0,0.07072025847863168
132.0,0.07074323253535311
133.0,0.07057897379050843
134.0,0.07057151097706388
135.0,0.07022100640770314
136.0,0.07022004962803013
137.0,0.07028131506019325
138.0,0.07020799265772294
139.0,0.07020615263330497
140.0,0.07023236668412847
141.0,0.07022006843605676
142.0,0.07021863462008467
143.0,0.07022306005369654
144.0,0.07002741724633657
145.0,0.07001502886259726
146.0,0.06952611049781954
147.0,0.06940646265598263
148.0,0.06826884888150017
149.0,0.06732237031860361
150.0,0.0680014542944899
151.0,0.06806213032551545
152.0,0.06758380026283937
153.0,0.06757520479461551
154.0,0.06757204479455153
155.0,0.067569721842181
156.0,0.06737496947873016
157.0,0.06737147476671929
158.0,0.06735529227451212
159.0,0.06735162949553294
160.0,0.0673503570514378
161.0,0.06733469399325749
162.0,0.0673206814700247
163.0,0.06739022073429872
164.0,0.06739403632148772
165.0,0.06739175757366657
166.0,0.06730907781434527
167.0,0.06735470730186977
168.0,0.06657070236275515
169.0,0.06630028220853458
170.0,0.06624094550419506
171.0,0.06330924520914186
172.0,0.0629873507086219
173.0,0.06298496283372383
174.0,0.06279691711280143
175.0,0.06279696619209343
176.0,0.06279939969115081
177.0,0.06263042515824263
178.0,0.061994163682318824
179.0,0.06201159562581136
180.0,0.06200557988094263
181.0,0.06200517286428796
182.0,0.06185008897601288
183.0,0.06184431716793726
184.0,0.06186454901640609
185.0,0.06186297161472545
186.0,0.06184203204563582
187.0,0.06184247866429735
188.0,0.062041567024804116
189.0,0.06204079457708229
190.0,0.062345725140219195
191.0,0.06213804808743659
192.0,0.0621433748947009
193.0,0.062143829145296856
194.0,0.062137067790635755
195.0,0.062133334280157354
196.0,0.06213318852264925
197.0,0.06213385848534091
198.0,0.0622380660182936
199.0,0.06507054094108947
200.0,0.06490490007125542
201.0,0.06470878523146724
202.0,0.06461092954039804
203.0,0.0646080336383332
204.0,0.0645961321624177
205.0,0.06466247850037739
206.0,0.06468156720064006
207.0,0.06450378524393291
208.0,0.06450386941701022
209.0,0.06376323503767786
210.0,0.06375249721871774
211.0,0.06375922847785957
212.0,0.06284039798102631
213.0,0.06252971212656505
214.0,0.062430894773356616
215.0,0.062389398129799274
216.0,0.06238888548764045
217.0,0.06227236629778015
218.0,0.062260336930518974
219.0,0.061391355902202634
220.0,0.061313594654004405
221.0,0.061305053231201834
222.0,0.06112493622743473
223.0,0.059538457165391905
224.0,0.0595153891519118
225.0,0.059516928035604544
226.0,0.05947261148262339
227.0,0.0593971692017362
228.0,0.059398829306964225
229.0,0.05940205298458253
230.0,0.06001216860126371
231.0,0.060011530409523325
232.0,0.06000951886427582
233.0,0.06002362489863928
234.0,0.06005914733298213
235.0,0.060061089370605135
236.0,0.06006028370538206
237.0,0.06005387620640979
238.0,0.06005242972420883
239.0,0.056294397212933396
240.0,0.056295699186142995
241.0,0.056300256550920795
242.0,0.05598030310208152
243.0,0.05659632605580379
244.0,0.056600956730487414
245.0,0.05660164041026459
246.0,0.0565769001367841
247.0,0.05656712752604586
248.0,0.05653089929086654
249.0,0.056531308651288865
250.0,0.055865267164137
251.0,0.05586578920051705
252.0,0.055880547248573845
253.0,0.05587965765251954
254.0,0.05588252260149515
255.0,0.055886712841599025
256.0,0.05588381917702527
257.0,0.05588086084208452
258.0,0.05588223491296622
259.0,0.055879318216631835
260.0,0.05619187449210308
261.0,0.05619509836619681
262.0,0.056195704248630525
263.0,0.05619626677199225
264.0,0.05624299672278011
265.0,0.056206107434752725
266.0,0.05620674866176928
267.0,0.05620722755045809
268.0,0.05620838460941496
269.0,0.056175124414348486
270.0,0.05743692771098825
271.0,0.057436067772942044
272.0,0.057448733676804385
273.0,0.05743120621423747
274.0,0.05748669660865607
275.0,0.057486886332720664
276.0,0.05742431926208185
277.0,0.05742825117598448
278.0,0.05742828098519877
279.0,0.05742941281232886
280.0,0.05742946211073891
281.0,0.057495880572207
282.0,0.05738251874883275
283.0,0.05705704853806422
284.0,0.0570571624096482
285.0,0.057061310922112175
286.0,0.056940142402628305
287.0,0.056950663746555094
288.0,0.0570014897149077
289.0,0.05688777943846531
290.0,0.0567264748975983
291.0,0.05672612227623104
292.0,0.054109504630472705
293.0,0.05260343679977304
294.0,0.05259213773748337
295.0,0.052503185606493724
296.0,0.052525806584461314
297.0,0.052515670293529056
298.0,0.05252030525167252
299.0,0.05257624577559224
300.0,0.052578572254093923
301.0,0.0525833927396649
302.0,0.052579791272141276
303.0,0.05257189185072114
304.0,0.052579736818102615
305.0,0.05276624176483753
306.0,0.05276652708947757
307.0,0.05275285307058969
308.0,0.05275545652308279
309.0,0.052761706847337296
310.0,0.05272996619667481
311.0,0.05273413281125914
312.0,0.052722575456083
313.0,0.05271459994809674
314.0,0.052738761530186626
315.0,0.052731477178830366
316.0,0.05026147431858942
317.0,0.05025811036167581
318.0,0.050253073410560394
319.0,0.05020228930195557
320.0,0.050205180572871856
321.0,0.050152137203792295
322.0,0.05011708110628615
323.0,0.05008905269376208
324.0,0.050080056104108116
325.0,0.05007475337517057
326.0,0.05007768171890307
327.0,0.05011072265758732
328.0,0.05009326181850177
329.0,0.05008464676533935
330.0,0.050048845650212344
331.0,0.05001860022380983
332.0,0.049998820145502984
333.0,0.05004124728489129
334.0,0.05005191514129127
335.0,0.04997477108450306
336.0,0.04990363929633548
337.0,0.04990206606252332
338.0,0.04974989771431761
339.0,0.04968703815479446
340.0,0.04956284938844151
341.0,0.049580099018222065
342.0,0.04958997432372407
343.0,0.04959082773376396
344.0,0.0471513998928328
345.0,0.047052973027530295
346.0,0.04706513642226114
347.0,0.0470418537254986
348.0,0.04704348021446877
349.0,0.0467773067013416
350.0,0.04678571929473319
351.0,0.046789181715523445
352.0,0.046785289596372764
353.0,0.046770849858139285
354.0,0.04675401466177079
355.0,0.04585159294549231
356.0,0.045859306034982956
357.0,0.04555517829473212
358.0,0.0455186077207098
359.0,0.04547366431803869
360.0,0.04547952320642431
361.0,0.04545380257050815
362.0,0.04529675410531011
363.0,0.04526536029694831
364.0,0.03977421033830729
365.0,0.039698185084368225
366.0,0.03962581487868348
367.0,0.03963700664681571
368.0,0.03964069839031955
369.0,0.03963789081401012
370.0,0.03962928728458659
371.0,0.039377492973204205
372.0,0.03938367812257895
373.0,0.03941756354301733
374.0,0.039394583460478395
375.0,0.039377254562050115
376.0,0.04010908611959815
377.0,0.040077774829013334
378.0,0.04010274067767071
379.0,0.0404075132048029
380.0,0.04038782147615453
381.0,0.040388914081421805
382.0,0.0403937029536855
383.0,0.04039674149187805
384.0,0.040387185581845675
385.0,0.04031643619571306
386.0,0.04013942313536016
387.0,0.04014297727674796
388.0,0.04040834418830679
389.0,0.04040278255635609
390.0,0.040402352696882825
391.0,0.04039655170873696
392.0,0.040373939136563404
393.0,0.03942334522130764
394.0,0.03942064490623349
395.0,0.03942600415031547
396.0,0.039410241574912144
397.0,0.03902112824635109
398.0,0.03902436938330713
399.0,0.0391046943414191
