N,e_xt
27.0,0.621273849210695
28.0,0.6259283239559231
29.0,0.6236395516019707
30.0,0.6551975019170176
31.0,0.35304233302735316
32.0,0.3519746732568766
33.0,0.30153163580480463
34.0,0.2585704468902054
35.0,0.25879804050233485
36.0,0.24936679282799765
37.0,0.25009188524627146
38.0,0.25018753882494776
39.0,0.2507771932633703
40.0,0.25077142103202227
41.0,0.24820917587505778
42.0,0.23503886776960695
43.0,0.23255487461455987
44.0,0.2328619251833216
45.0,0.20554981512841994
46.0,0.20458246888517068
47.0,0.20490336001406645
48.0,0.20410359329687058
49.0,0.2262967753145556
50.0,0.23194330658163506
51.0,0.20622372132029548
52.0,0.20630091015810667
53.0,0.16818588785641098
54.0,0.16774925233982188
55.0,0.16485374621842125
56.0,0.16524036691289942
57.0,0.16919668909939503
58.0,0.17043591976355357
59.0,0.17078650356689515
60.0,0.17292900524513016
61.0,0.17264998128224676
62.0,0.1727808045722649
63.0,0.17083549686617044
64.0,0.16802802838897357
65.0,0.16892843804176677
66.0,0.1686752381603275
67.0,0.14203848961852358
68.0,0.1417527589300952
69.0,0.14177948558223358
70.0,0.14181388213603624
71.0,0.13844923813298732
72.0,0.13848988310014368
73.0,0.13845449767033022
74.0,0.13801667980976123
75.0,0.1380405041901359
76.0,0.14227087207116337
77.0,0.14223219886382998
78.0,0.14284319524786424
79.0,0.14212477261210738
80.0,0.14213616776153581
81.0,0.12998415734741414
82.0,0.12992123695475236
83.0,0.12928484266006732
84.0,0.12826457252871123
85.0,0.1270997129163126
86.0,0.12707314197703667
87.0,0.1269544750838682
88.0,0.12683017386293546
89.0,0.12602635129821188
90.0,0.1225394872097687
91.0,0.13958676233512515
92.0,0.11655812516970378
93.0,0.1165090823076708
94.0,0.1166655128871087
95.0,0.11664300575519253
96.0,0.11622696433996395
97.0,0.11434674795694107
98.0,0.11417780337771727
99.0,0.1116754876727064
100.0,0.11161353085460739
101.0,0.11171126891489833
102.0,0.10924673119024277
103.0,0.10922871452434538
104.0,0.10730496137960639
105.0,0.10767269560909193
106.0,0.10492894905746271
107.0,0.10409887758171778
108.0,0.10407746871414528
109.0,0.1013175505733685
110.0,0.10134249668462592
111.0,0.10119613802900478
112.0,0.09827480482547471
113.0,0.09837564118567688
114.0,0.09838188372121415
115.0,0.09791901999117425
116.0,0.09784386724766135
117.0,0.09761531470876647
118.0,0.08900431417253929
119.0,0.08869481435938507
120.0,0.08798719626678891
121.0,0.08797798890868894
122.0,0.08671016095877057
123.0,0.08670536368774975
124.0,0.08656280423785574
125.0,0.08590723906606493
126.0,0.085690858512755
127.0,0.0856669003534345
128.0,0.0856800406881426
129.0,0.08581138313648994
130.0,0.14905395426571488
131.0,0.15013436178385198
132.0,0.15003303702769463
133.0,0.1499674430451405
134.0,0.15008615734155076
135.0,0.14999029605615974
136.0,0.15000978524325856
137.0,0.14997537615853287
138.0,0.15060969188271456
